Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg,moves
#0810,Grookey,['grass'],"['Overgrow', 'Grassy Surge']",50,65,50,40,40,65,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",310,51,"['Growl', 'Scratch', 'Branch Poke', 'Taunt', 'Razor Leaf', 'Screech', 'Knock Off', 'Slam', 'Uproar', 'Wood Hammer', 'Endeavor', 'Fake Out', 'Growth', 'Hammer Arm', 'Leech Seed', 'Strength', 'Worry Seed', 'Take Down', 'Protect', 'Low Kick', 'Acrobatics', 'Thief', 'Trailblaze', 'Facade', 'Swift', 'Magical Leaf', 'Fling', 'Endure', 'Sunny Day', 'Bullet Seed', 'False Swipe', 'U-turn', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Drain Punch', 'Grass Knot', 'Rest', 'Swords Dance', 'Substitute', 'Giga Drain', 'Energy Ball', 'Grassy Terrain', 'Grass Pledge', 'Leaf Storm', 'Solar Beam', 'Tera Blast', 'Solar Blade', 'Grassy Glide', 'Nature Power', 'Mega Punch', 'Mega Kick', 'Snore', 'Attract', 'Assurance', 'Round', 'Focus Energy', 'Work Up']"
#0811,Thwackey,['grass'],"['Overgrow', 'Grassy Surge']",70,85,70,55,60,80,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",420,70,"['Branch Poke', 'Growl', 'Scratch', 'Taunt', 'Razor Leaf', 'Screech', 'Knock Off', 'Slam', 'Uproar', 'Wood Hammer', 'Endeavor', 'Double Hit', 'Fake Out', 'Growth', 'Hammer Arm', 'Leech Seed', 'Strength', 'Worry Seed', 'Take Down', 'Scary Face', 'Protect', 'Low Kick', 'Acrobatics', 'Thief', 'Trailblaze', 'Facade', 'Swift', 'Magical Leaf', 'Fling', 'Endure', 'Sunny Day', 'Bullet Seed', 'False Swipe', 'U-turn', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Drain Punch', 'Grass Knot', 'Rest', 'Swords Dance', 'Substitute', 'Giga Drain', 'Energy Ball', 'Grassy Terrain', 'Grass Pledge', 'Leaf Storm', 'Solar Beam', 'Tera Blast', 'Solar Blade', 'Grassy Glide', 'Double-Edge', 'Nature Power', 'Mega Punch', 'Mega Kick', 'Snore', 'Attract', 'Assurance', 'Round', 'Focus Energy', 'Work Up']"
#0812,Rillaboom,['grass'],"['Overgrow', 'Grassy Surge']",100,125,90,60,70,85,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",530,88,"['G-Max Drum Solo', 'Branch Poke', 'Double Hit', 'Grassy Terrain', 'Growl', 'Noble Roar', 'Scratch', 'Taunt', 'Razor Leaf', 'Screech', 'Knock Off', 'Slam', 'Uproar', 'Wood Hammer', 'Endeavor', 'Boomburst', 'Drum Beating', 'Fake Out', 'Growth', 'Hammer Arm', 'Leech Seed', 'Strength', 'Worry Seed', 'Take Down', 'Scary Face', 'Protect', 'Low Kick', 'Acrobatics', 'Thief', 'Trailblaze', 'Facade', 'Bulldoze', 'Snarl', 'Swift', 'Magical Leaf', 'Mud Shot', 'Low Sweep', 'Fling', 'Endure', 'Sunny Day', 'Bullet Seed', 'False Swipe', 'Brick Break', 'U-turn', 'Bulk Up', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Drain Punch', 'Grass Knot', 'Stomping Tantrum', 'Rest', 'Swords Dance', 'Body Press', 'Substitute', 'Giga Drain', 'Hyper Voice', 'Energy Ball', 'Earth Power', 'Grass Pledge', 'Earthquake', 'Giga Impact', 'Frenzy Plant', 'Focus Blast', 'Leaf Storm', 'Hyper Beam', 'Solar Beam', 'Tera Blast', 'High Horsepower', 'Solar Blade', 'Focus Punch', 'Grassy Glide', 'Double-Edge', 'Nature Power', 'Mega Punch', 'Mega Kick', 'Snore', 'Attract', 'Assurance', 'Round', 'Brutal Swing', 'Focus Energy', 'Superpower', 'Work Up', 'Darkest Lariat']"
#0813,Scorbunny,['fire'],"['Blaze', 'Libero']",50,71,40,40,40,69,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",310,51,"['Growl', 'Tackle', 'Ember', 'Quick Attack', 'Double Kick', 'Flame Charge', 'Agility', 'Headbutt', 'Counter', 'Bounce', 'Double-Edge', 'High Jump Kick', 'Sand Attack', 'Sucker Punch', 'Super Fang', 'Take Down', 'Protect', 'Fire Fang', 'Low Kick', 'Acrobatics', 'Trailblaze', 'Fire Spin', 'Facade', 'Swift', 'Low Sweep', 'Endure', 'Sunny Day', 'U-turn', 'Sleep Talk', 'Electro Ball', 'Rest', 'Taunt', 'Gunk Shot', 'Substitute', 'Heat Wave', 'Flamethrower', 'Helping Hand', 'Baton Pass', 'Reversal', 'Fire Blast', 'Fire Pledge', 'Overheat', 'Flare Blitz', 'Tera Blast', 'Burning Jealousy', 'Temper Flare', 'Mega Kick', 'Snore', 'Attract', 'Mud Shot', 'Assurance', 'Round', 'Focus Energy', 'Blaze Kick', 'Ally Switch', 'Work Up']"
#0814,Raboot,['fire'],"['Blaze', 'Libero']",65,86,60,55,60,94,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",420,70,"['Ember', 'Growl', 'Quick Attack', 'Tackle', 'Double Kick', 'Flame Charge', 'Agility', 'Headbutt', 'Counter', 'Bounce', 'Double-Edge', 'High Jump Kick', 'Sand Attack', 'Sucker Punch', 'Super Fang', 'Take Down', 'Protect', 'Fire Fang', 'Low Kick', 'Acrobatics', 'Trailblaze', 'Fire Spin', 'Facade', 'Swift', 'Mud Shot', 'Low Sweep', 'Endure', 'Sunny Day', 'U-turn', 'Bulk Up', 'Sleep Talk', 'Electro Ball', 'Rest', 'Taunt', 'Swords Dance', 'Gunk Shot', 'Substitute', 'Heat Wave', 'Flamethrower', 'Helping Hand', 'Baton Pass', 'Reversal', 'Fire Blast', 'Fire Pledge', 'Overheat', 'Flare Blitz', 'Tera Blast', 'Weather Ball', 'Burning Jealousy', 'Temper Flare', 'Mega Kick', 'Snore', 'Attract', 'Assurance', 'Round', 'Focus Energy', 'Blaze Kick', 'Ally Switch', 'Work Up']"
#0815,Cinderace,['fire'],"['Blaze', 'Libero']",80,116,75,65,75,119,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",530,88,"['G-Max Fireball', 'Ember', 'Feint', 'Growl', 'Quick Attack', 'Tackle', 'Double Kick', 'Flame Charge', 'Agility', 'Headbutt', 'Counter', 'Bounce', 'Double-Edge', 'Court Change', 'Pyro Ball', 'High Jump Kick', 'Sand Attack', 'Sucker Punch', 'Super Fang', 'Take Down', 'Mud-Slap', 'Protect', 'Fire Fang', 'Low Kick', 'Acrobatics', 'Trailblaze', 'Fire Spin', 'Facade', 'Snarl', 'Swift', 'Mud Shot', 'Low Sweep', 'Fling', 'Endure', 'Sunny Day', 'Zen Headbutt', 'U-turn', 'Bulk Up', 'Fire Punch', 'Sleep Talk', 'Electro Ball', 'Rest', 'Taunt', 'Swords Dance', 'Iron Head', 'Gunk Shot', 'Substitute', 'Will-O-Wisp', 'Shadow Ball', 'Heat Wave', 'Flamethrower', 'Helping Hand', 'Baton Pass', 'Reversal', 'Fire Blast', 'Fire Pledge', 'Giga Impact', 'Blast Burn', 'Overheat', 'Focus Blast', 'Hyper Beam', 'Flare Blitz', 'Tera Blast', 'Smack Down', 'Weather Ball', 'Burning Jealousy', 'Temper Flare', 'Coaching', 'Scorching Sands', 'Mega Kick', 'Snore', 'Attract', 'Revenge', 'Assurance', 'Round', 'Focus Energy', 'Blaze Kick', 'Ally Switch', 'Work Up']"
#0816,Sobble,['water'],"['Torrent', 'Sniper']",50,40,40,70,40,70,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",310,51,"['Growl', 'Pound', 'Water Gun', 'Bind', 'Water Pulse', 'Tearful Look', 'Sucker Punch', 'U-turn', 'Liquidation', 'Soak', 'Rain Dance', 'Aqua Jet', 'Aqua Ring', 'Double Team', 'Fell Stinger', 'Haze', 'Ice Shard', 'Mist', 'Take Down', 'Protect', 'Chilling Water', 'Facade', 'Swift', 'Mud Shot', 'Endure', 'Sleep Talk', 'Reflect', 'Light Screen', 'Waterfall', 'Rest', 'Substitute', 'Surf', 'Hydro Pump', 'Water Pledge', 'Tera Blast', 'Weather Ball', 'Whirlpool', 'Muddy Water', 'Safeguard', 'Snore', 'Attract', 'Dive', 'Bounce', 'Round', 'Baton Pass', 'Work Up']"
#0817,Drizzile,['water'],"['Torrent', 'Sniper']",65,60,55,95,55,90,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",420,70,"['Bind', 'Growl', 'Pound', 'Water Gun', 'Water Pulse', 'Tearful Look', 'Sucker Punch', 'U-turn', 'Liquidation', 'Soak', 'Rain Dance', 'Aqua Jet', 'Aqua Ring', 'Double Team', 'Fell Stinger', 'Haze', 'Ice Shard', 'Mist', 'Take Down', 'Protect', 'Chilling Water', 'Facade', 'Swift', 'Mud Shot', 'Fling', 'Endure', 'Sleep Talk', 'Reflect', 'Light Screen', 'Waterfall', 'Rest', 'Substitute', 'Surf', 'Baton Pass', 'Hydro Pump', 'Water Pledge', 'Tera Blast', 'Weather Ball', 'Whirlpool', 'Muddy Water', 'Safeguard', 'Snore', 'Attract', 'Dive', 'Bounce', 'Round', 'Work Up']"
#0818,Inteleon,['water'],"['Torrent', 'Sniper']",70,85,65,125,65,120,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",530,88,"['G-Max Hydrosnipe', 'Acrobatics', 'Bind', 'Growl', 'Pound', 'Water Gun', 'Water Pulse', 'Tearful Look', 'Sucker Punch', 'U-turn', 'Liquidation', 'Soak', 'Rain Dance', 'Hydro Pump', 'Snipe Shot', 'Aqua Jet', 'Aqua Ring', 'Double Team', 'Fell Stinger', 'Haze', 'Ice Shard', 'Mist', 'Take Down', 'Agility', 'Protect', 'Chilling Water', 'Facade', 'Swift', 'Icy Wind', 'Mud Shot', 'Air Cutter', 'Fling', 'Endure', 'Snowscape', 'Air Slash', 'Sleep Talk', 'Reflect', 'Light Screen', 'Waterfall', 'Metronome', 'Rest', 'Taunt', 'Swords Dance', 'Dark Pulse', 'Substitute', 'Shadow Ball', 'Surf', 'Baton Pass', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Giga Impact', 'Hydro Cannon', 'Hyper Beam', 'Tera Blast', 'Smack Down', 'Vacuum Wave', 'Icicle Spear', 'Scald', 'Weather Ball', 'Flip Turn', 'Psych Up', 'Whirlpool', 'Muddy Water', 'Skitter Smack', 'Breaking Swipe', 'Scale Shot', 'Safeguard', 'Snore', 'Attract', 'Dive', 'Bounce', 'Round', 'Focus Energy', 'Work Up']"
#0819,Skwovet,['normal'],"['Cheek Pouch', 'Gluttony']",70,55,55,35,35,25,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],275,45,"['Tackle', 'Tail Whip', 'Bite', 'Stuff Cheeks', 'Spit Up', 'Stockpile', 'Swallow', 'Body Slam', 'Rest', 'Counter', 'Bullet Seed', 'Super Fang', 'Belch', 'Belly Drum', 'Defense Curl', 'Last Resort', 'Rollout', 'Take Down', 'Mud-Slap', 'Protect', 'Thief', 'Trailblaze', 'Facade', 'Mud Shot', 'Fling', 'Endure', 'Dig', 'Sleep Talk', 'Seed Bomb', 'Substitute', 'Crunch', 'Hyper Voice', 'Amnesia', 'Tera Blast', 'Gyro Ball', 'Double-Edge', 'Endeavor', 'Curse', 'Snore', 'Attract', 'Payback', 'Assurance', 'Round', 'Tail Slap', 'Brutal Swing', 'Iron Tail', 'Uproar']"
