name,type,catagory,power,accuracy,pp,effect
Aerial Ace,flying,physical,60,∞,20,Ignores Accuracy and Evasiveness.
Air Cutter,flying,special,60,95,25,High critical hit ratio.
Arm Thrust,fighting,physical,15,100,20,Hits 2-5 times in one turn.
Aromatherapy,grass,status,none,none,5,Cures all status problems in your party.
Assist,normal,status,none,none,20,User performs a move known by its allies at random.
Astonish,ghost,physical,30,100,15,May cause flinching.
Blast Burn,fire,special,150,90,5,User must recharge next turn.
Blaze Kick,fire,physical,85,90,10,High critical hit ratio. May burn opponent.
Block,normal,status,none,none,5,Opponent cannot flee or switch.
Bounce,flying,physical,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent."
Brick Break,fighting,physical,75,100,15,Breaks through Reflect and Light Screen barriers.
Bulk Up,fighting,status,none,none,20,Raises user's Attack and Defense.
Bullet Seed,grass,physical,25,100,30,Hits 2-5 times in one turn.
Calm Mind,psychic,status,none,none,20,Raises user's Special Attack and Special Defense.
Camouflage,normal,status,none,none,20,Changes user's type according to the location.
Charge,electric,status,none,none,20,Raises user's Special Defense and next Electric move's power increases.
Cosmic Power,psychic,status,none,none,20,Raises user's Defense and Special Defense.
Covet,normal,physical,60,100,25,Opponent's item is stolen by the user.
Crush Claw,normal,physical,75,95,10,May lower opponent's Defense.
Dive,water,physical,80,100,10,"Dives underwater on first turn, attacks on second turn."
Doom Desire,steel,special,140,100,5,Damage occurs 2 turns later.
Dragon Claw,dragon,physical,80,100,15,none
Dragon Dance,dragon,status,none,none,20,Raises user's Attack and Speed.
Endeavor,normal,physical,none,100,5,Reduces opponent's HP to same as user's.
Eruption,fire,special,150,100,5,Stronger when the user's HP is higher.
Extrasensory,psychic,special,80,100,20,May cause flinching.
Facade,normal,physical,70,100,20,"Power doubles if user is burned, poisoned, or paralyzed."
Fake Out,normal,physical,40,100,10,"User attacks first, foe flinches. Only usable on first turn."
Fake Tears,dark,status,none,100,20,Sharply lowers opponent's Special Defense.
Feather Dance,flying,status,none,100,15,Sharply lowers opponent's Attack.
Flatter,dark,status,none,100,15,"Confuses opponent, but raises its Special Attack."
Focus Punch,fighting,physical,150,100,20,"If the user is hit before attacking, it flinches instead."
Follow Me,normal,status,none,none,20,"In Double Battle, the user takes all the attacks."
Frenzy Plant,grass,special,150,90,5,User must recharge next turn.
Grass Whistle,grass,status,none,55,15,Puts opponent to sleep.
Grudge,ghost,status,none,none,5,"If the users faints after using this move, the PP for the opponent's last move is depleted."
Hail,ice,status,none,none,10,Non-Ice types are damaged for 5 turns.
Heat Wave,fire,special,95,90,10,May burn opponent.
Helping Hand,normal,status,none,none,20,"In Double Battles, boosts the power of the partner's move."
Howl,normal,status,none,none,40,Raises Attack of allies.
Hydro Cannon,water,special,150,90,5,User must recharge next turn.
Hyper Voice,normal,special,90,100,10,none
Ice Ball,ice,physical,30,90,20,Doubles in power each turn for 5 turns.
Icicle Spear,ice,physical,25,100,30,Hits 2-5 times in one turn.
Imprison,psychic,status,none,none,10,Opponent is unable to use moves that the user also knows.
Ingrain,grass,status,none,none,20,User restores HP each turn. User cannot escape/switch.
Iron Defense,steel,status,none,none,15,Sharply raises user's Defense.
Knock Off,dark,physical,65,100,20,Removes opponent's held item for the rest of the battle.
Leaf Blade,grass,physical,90,100,15,High critical hit ratio.
Luster Purge,psychic,special,95,100,5,May lower opponent's Special Defense.
Magic Coat,psychic,status,none,none,15,Reflects moves that cause status conditions back to the attacker.
Magical Leaf,grass,special,60,∞,20,Ignores Accuracy and Evasiveness.
Memento,dark,status,none,100,10,"User faints, sharply lowers opponent's Attack and Special Attack."
Metal Sound,steel,status,none,85,40,Sharply lowers opponent's Special Defense.
Meteor Mash,steel,physical,90,90,10,May raise user's Attack.
Mist Ball,psychic,special,95,100,5,May lower opponent's Special Attack.
Mud Shot,ground,special,55,95,15,Lowers opponent's Speed.
Mud Sport,ground,status,none,none,15,Weakens the power of Electric-type moves.
Muddy Water,water,special,90,85,10,May lower opponent's Accuracy.
Nature Power,normal,status,none,none,20,Uses a certain move based on the current terrain.
Needle Arm,grass,physical,60,100,15,May cause flinching.
Odor Sleuth,normal,status,none,none,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts."
Overheat,fire,special,130,90,5,Sharply lowers user's Special Attack.
Poison Fang,poison,physical,50,100,15,May badly poison opponent.
Poison Tail,poison,physical,50,100,25,High critical hit ratio. May poison opponent.
Psycho Boost,psychic,special,140,90,5,Sharply lowers user's Special Attack.
Recycle,normal,status,none,none,10,User's used hold item is restored.
Refresh,normal,status,none,none,20,"Cures paralysis, poison, and burns."
Revenge,fighting,physical,60,100,10,Power increases if user was hit first.
Rock Blast,rock,physical,25,90,10,Hits 2-5 times in one turn.
Rock Tomb,rock,physical,60,95,15,Lowers opponent's Speed.
Role Play,psychic,status,none,none,10,User copies the opponent's Ability.
Sand Tomb,ground,physical,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Secret Power,normal,physical,70,100,20,Effects of the attack vary with the location.
Shadow Punch,ghost,physical,60,∞,20,Ignores Accuracy and Evasiveness.
Sheer Cold,ice,special,none,30,5,"One-Hit-KO, if it hits."
Shock Wave,electric,special,60,∞,20,Ignores Accuracy and Evasiveness.
Signal Beam,bug,special,75,100,15,May confuse opponent.
Silver Wind,bug,special,60,100,5,May raise all stats of user at once.
Skill Swap,psychic,status,none,none,10,The user swaps Abilities with the opponent.
Sky Uppercut,fighting,physical,85,90,15,"Hits the opponent, even during Fly."
Slack Off,normal,status,none,none,5,User recovers half its max HP.
Smelling Salts,normal,physical,70,100,10,"Power doubles if opponent is paralyzed, but cures it."
Snatch,dark,status,none,none,10,Steals the effects of the opponent's next move.
Spit Up,normal,special,none,100,10,Power depends on how many times the user performed Stockpile.
Stockpile,normal,status,none,none,20,Stores energy for use with Spit Up and Swallow.
Superpower,fighting,physical,120,100,5,Lowers user's Attack and Defense.
Swallow,normal,status,none,none,10,"The more times the user has performed Stockpile, the more HP is recovered."
Tail Glow,bug,status,none,none,20,Drastically raises user's Special Attack.
Taunt,dark,status,none,100,20,Opponent can only use moves that attack.
Teeter Dance,normal,status,none,100,20,Confuses all Pokémon.
Tickle,normal,status,none,100,20,Lowers opponent's Attack and Defense.
Torment,dark,status,none,100,15,Opponent cannot use the same move in a row.
Trick,psychic,status,none,100,10,Swaps held items with the opponent.
Uproar,normal,special,90,100,10,User attacks for 3 turns and prevents sleep.
Volt Tackle,electric,physical,120,100,15,User receives recoil damage. May paralyze opponent.
Water Pulse,water,special,60,100,20,May confuse opponent.
Water Sport,water,status,none,none,15,Weakens the power of Fire-type moves.
Water Spout,water,special,150,100,5,"The higher the user's HP, the higher the damage caused."
Weather Ball,normal,special,50,100,10,Move's power and type changes with the weather.
Will-O-Wisp,fire,status,none,85,15,Burns opponent.
Wish,normal,status,none,none,10,The user recovers HP in the following turn.
Yawn,normal,status,none,none,10,Puts opponent to sleep in the next turn.
