Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg
#0252,Treecko,['grass'],"['Overgrow', 'Unburden']",40,45,35,65,55,70,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",310,51
#0253,Grovyle,['grass'],"['Overgrow', 'Unburden']",50,65,45,85,65,95,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",405,67
#0254,Sceptile,['grass'],"['Overgrow', 'Unburden']",70,85,65,105,85,120,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",530,88
#0255,Torchic,['fire'],"['Blaze', 'Speed Boost']",45,60,40,70,50,45,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",310,51
#0256,Combusken,"['fire', 'fighting']","['Blaze', 'Speed Boost']",60,85,60,85,60,55,"['normal', 'steel', 'grass', 'ice', 'dark']","['flying', 'poison', 'ghost', 'fire', 'water', 'psychic', 'dragon', 'fairy']","['bug', 'steel', 'fire', 'grass', 'ice', 'dark']","['flying', 'ground', 'water', 'psychic']",405,67
#0257,Blaziken,"['fire', 'fighting']","['Blaze', 'Speed Boost']",80,120,70,110,70,80,"['normal', 'steel', 'grass', 'ice', 'dark']","['flying', 'poison', 'ghost', 'fire', 'water', 'psychic', 'dragon', 'fairy']","['bug', 'steel', 'fire', 'grass', 'ice', 'dark']","['flying', 'ground', 'water', 'psychic']",530,88
#0258,Mudkip,['water'],"['Torrent', 'Damp']",50,70,50,50,50,40,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",310,51
#0259,Marshtomp,"['water', 'ground']","['Torrent', 'Damp']",70,85,70,60,70,50,"['poison', 'ground', 'rock', 'steel', 'fire', 'electric']","['flying', 'bug', 'water', 'grass', 'dragon']","['poison', 'rock', 'steel', 'fire', 'electric']",['grass'],405,67
#0260,Swampert,"['water', 'ground']","['Torrent', 'Damp']",100,110,90,85,90,60,"['poison', 'ground', 'rock', 'steel', 'fire', 'electric']","['flying', 'bug', 'water', 'grass', 'dragon']","['poison', 'rock', 'steel', 'fire', 'electric']",['grass'],535,89
#0261,Poochyena,['dark'],"['Run Away', 'Quick Feet', 'Rattled']",35,55,35,30,30,35,"['ghost', 'psychic']","['fighting', 'fairy', 'dark']","['ghost', 'psychic', 'dark']","['fighting', 'bug', 'fairy']",220,36
#0262,Mightyena,['dark'],"['Intimidate', 'Quick Feet', 'Moxie']",70,90,70,60,60,70,"['ghost', 'psychic']","['fighting', 'fairy', 'dark']","['ghost', 'psychic', 'dark']","['fighting', 'bug', 'fairy']",420,70
#0263,Zigzagoon,['normal'],"['Pickup', 'Gluttony', 'Quick Feet']",38,30,41,30,41,60,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],240,40
#0264,Linoone,['normal'],"['Pickup', 'Gluttony', 'Quick Feet']",78,70,61,50,61,100,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],420,70
#0265,Wurmple,['bug'],"['Shield Dust', 'Run Away']",45,45,35,20,30,20,"['grass', 'psychic', 'dark']","['fighting', 'flying', 'poison', 'ghost', 'steel', 'fire', 'fairy']","['fighting', 'ground', 'grass']","['flying', 'rock', 'fire']",195,32
#0266,Silcoon,['bug'],['Shed Skin'],50,35,55,25,25,15,"['grass', 'psychic', 'dark']","['fighting', 'flying', 'poison', 'ghost', 'steel', 'fire', 'fairy']","['fighting', 'ground', 'grass']","['flying', 'rock', 'fire']",205,34
#0267,Beautifly,"['bug', 'flying']","['Swarm', 'Rivalry']",60,70,50,100,50,65,"['bug', 'grass', 'psychic', 'dark']","['flying', 'poison', 'rock', 'ghost', 'steel', 'fire', 'electric', 'fairy']","['fighting', 'ground', 'bug', 'grass']","['flying', 'rock', 'fire', 'electric', 'ice']",395,65
#0268,Cascoon,['bug'],['Shed Skin'],50,35,55,25,25,15,"['grass', 'psychic', 'dark']","['fighting', 'flying', 'poison', 'ghost', 'steel', 'fire', 'fairy']","['fighting', 'ground', 'grass']","['flying', 'rock', 'fire']",205,34
#0269,Dustox,"['bug', 'poison']","['Shield Dust', 'Compoundeyes']",60,50,70,50,90,65,"['grass', 'psychic', 'dark']","['fighting', 'flying', 'poison', 'ground', 'rock', 'ghost', 'steel', 'fire']","['fighting', 'poison', 'bug', 'grass', 'fairy']","['flying', 'rock', 'fire', 'psychic']",385,64
#0270,Lotad,"['water', 'grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",40,30,30,40,50,30,"['ground', 'rock']","['flying', 'poison', 'bug', 'steel', 'grass', 'dragon']","['ground', 'steel', 'water']","['flying', 'poison', 'bug']",220,36
#0271,Lombre,"['water', 'grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",60,50,50,60,70,50,"['ground', 'rock']","['flying', 'poison', 'bug', 'steel', 'grass', 'dragon']","['ground', 'steel', 'water']","['flying', 'poison', 'bug']",340,56
#0272,Ludicolo,"['water', 'grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",80,70,70,90,100,70,"['ground', 'rock']","['flying', 'poison', 'bug', 'steel', 'grass', 'dragon']","['ground', 'steel', 'water']","['flying', 'poison', 'bug']",480,80
#0273,Seedot,['grass'],"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,40,50,30,30,30,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",220,36
#0274,Nuzleaf,"['grass', 'dark']","['Chlorophyll', 'Early Bird', 'Pickpocket']",70,70,40,60,40,60,"['ground', 'rock', 'ghost', 'water', 'psychic']","['fighting', 'flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon', 'fairy', 'dark']","['ground', 'ghost', 'water', 'grass', 'electric', 'psychic', 'dark']","['fighting', 'flying', 'poison', 'bug', 'fire', 'ice', 'fairy']",340,56
#0275,Shiftry,"['grass', 'dark']","['Chlorophyll', 'Wind Rider', 'Pickpocket']",90,100,60,90,60,80,"['ground', 'rock', 'ghost', 'water', 'psychic']","['fighting', 'flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon', 'fairy', 'dark']","['ground', 'ghost', 'water', 'grass', 'electric', 'psychic', 'dark']","['fighting', 'flying', 'poison', 'bug', 'fire', 'ice', 'fairy']",480,80
