name,type,catagory,power,accuracy,pp,effect
Aromatic Mist,fairy,status,none,none,20,Raises Special Defense of an ally.
Baby-Doll Eyes,fairy,status,none,100,30,Always goes first. Lowers the target's attack.
Belch,poison,special,120,90,10,User must have consumed a Berry.
Boomburst,normal,special,140,100,10,Hits all adjacent Pokémon.
Celebrate,normal,status,none,none,40,The Pokémon congratulates you on your special day. No battle effect.
Confide,normal,status,none,none,20,Lowers opponent's Special Attack.
Crafty Shield,fairy,status,none,none,10,Protects the Pokémon from status moves.
Dazzling Gleam,fairy,special,80,100,10,Hits all adjacent opponents.
Diamond Storm,rock,physical,100,95,5,May sharply raise user's Defense.
Disarming Voice,fairy,special,40,∞,15,Ignores Accuracy and Evasiveness.
Dragon Ascent,flying,physical,120,100,5,Lowers user's Defense and Special Defense.
Draining Kiss,fairy,special,50,100,10,User recovers most the HP inflicted on opponent.
Eerie Impulse,electric,status,none,100,15,Sharply lowers opponent's Special Attack.
Electric Terrain,electric,status,none,none,10,Prevents all Pokémon from falling asleep for 5 turns.
Electrify,electric,status,none,none,20,Changes the target's move to Electric type.
Fairy Lock,fairy,status,none,none,10,Prevents fleeing in the next turn.
Fairy Wind,fairy,special,40,100,30,none
Fell Stinger,bug,physical,50,100,25,Drastically raises user's Attack if target is KO'd.
Flower Shield,fairy,status,none,none,10,Sharply raises Defense of all Grass-type Pokémon on the field.
Flying Press,fighting,physical,100,95,10,Deals Fighting and Flying type damage.
Forest's Curse,grass,status,none,100,20,Adds Grass type to opponent.
Freeze-Dry,ice,special,70,100,20,May freeze opponent. Super-effective against Water types.
Geomancy,fairy,status,none,none,10,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second."
Grassy Terrain,grass,status,none,none,10,Restores a little HP of all Pokémon for 5 turns. 
Happy Hour,normal,status,none,none,30,Doubles prize money from trainer battles.
Hold Back,normal,physical,40,100,40,Always leaves opponent with at least 1 HP.
Hold Hands,normal,status,none,none,40,Makes the user and an ally very happy.
Hyperspace Fury,dark,physical,100,∞,5,Lowers user's Defense. Can strike through Protect/Detect.
Hyperspace Hole,psychic,special,80,∞,5,Can strike through Protect/Detect.
Infestation,bug,special,20,100,20,"Traps opponent, damaging them for 4-5 turns."
Ion Deluge,electric,status,none,none,25,Changes Normal-type moves to Electric-type.
King's Shield,steel,status,none,none,10,Protects the user and lowers opponent's Attack on contact.
Land's Wrath,ground,physical,90,100,10,none
Light of Ruin,fairy,special,140,90,5,User receives recoil damage.
Magnetic Flux,electric,status,none,none,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.
Mat Block,fighting,status,none,none,10,Protects teammates from damaging moves.
Misty Terrain,fairy,status,none,none,10,Protects the field from status conditions for 5 turns.
Moonblast,fairy,special,95,100,15,May lower opponent's Special Attack.
Mystical Fire,fire,special,75,100,10,Lowers opponent's Special Attack.
Noble Roar,normal,status,none,100,30,Lowers opponent's Attack and Special Attack.
Nuzzle,electric,physical,20,100,20,Paralyzes opponent.
Oblivion Wing,flying,special,80,100,10,User recovers most of the HP inflicted on opponent.
Origin Pulse,water,special,110,85,10,Hits all adjacent opponents.
Parabolic Charge,electric,special,65,100,20,User recovers half the HP inflicted on opponent.
Parting Shot,dark,status,none,100,20,Lowers opponent's Attack and Special Attack then switches out. 
Petal Blizzard,grass,physical,90,100,15,Hits all adjacent Pokémon.
Phantom Force,ghost,physical,90,100,10,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Play Nice,normal,status,none,none,20,Lowers opponent's Attack. Always hits.
Play Rough,fairy,physical,90,90,10,May lower opponent's Attack.
Powder,bug,status,none,100,20,Damages Pokémon using Fire type moves.
Power-Up Punch,fighting,physical,40,100,20,Raises Attack.
Precipice Blades,ground,physical,120,85,10,Hits all adjacent opponents.
Rototiller,ground,status,none,none,10,Raises Attack and Special Attack of Grass-types.
Spiky Shield,grass,status,none,none,10,Protects the user and inflicts damage on contact.
Steam Eruption,water,special,110,95,5,May burn opponent.
Sticky Web,bug,status,none,none,20,Lowers opponent's Speed when switching into battle.
Thousand Arrows,ground,physical,90,100,10,Makes Flying-type Pokémon vulnerable to Ground moves.
Thousand Waves,ground,physical,90,100,10,Opponent cannot flee or switch.
Topsy-Turvy,dark,status,none,none,20,Reverses stat changes of opponent.
Trick-or-Treat,ghost,status,none,100,20,Adds Ghost type to opponent.
Venom Drench,poison,status,none,100,20,Lowers poisoned opponent's Special Attack and Speed.
Water Shuriken,water,special,15,100,20,Hits 2-5 times in one turn.
