Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg,moves
#0650,Chespin,['grass'],"['Overgrow', 'Bulletproof']",56,61,65,48,45,38,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",313,52,"['Growl', 'Vine Whip', 'Rollout', 'Bite', 'Leech Seed', 'Pin Missile', 'Take Down', 'Seed Bomb', 'Mud Shot', 'Body Slam', 'Pain Split', 'Wood Hammer', 'Belly Drum', 'Curse', 'Quick Guard', 'Spikes', 'Super Fang', 'Synthesis', 'Wide Guard', 'Protect', 'Low Kick', 'Trailblaze', 'Facade', 'Aerial Ace', 'Bulldoze', 'Metal Claw', 'Swift', 'Magical Leaf', 'Rock Tomb', 'Fling', 'Endure', 'Sunny Day', 'Rain Dance', 'Dig', 'Bullet Seed', 'Brick Break', 'Zen Headbutt', 'Shadow Claw', 'Thunder Punch', 'Sleep Talk', 'Drain Punch', 'Reflect', 'Grass Knot', 'Poison Jab', 'Stomping Tantrum', 'Rest', 'Rock Slide', 'Iron Head', 'Substitute', 'Giga Drain', 'Energy Ball', 'Helping Hand', 'Grassy Terrain', 'Grass Pledge', 'Leaf Storm', 'Solar Beam', 'Tera Blast', 'Roar', 'Focus Punch', 'Grassy Glide', 'Endeavor', 'Bulk Up', 'Defense Curl', 'Power-Up Punch', 'Dual Chop', 'Iron Defense', 'Iron Tail', 'Snore', 'Superpower', 'Worry Seed', 'Work Up', 'Toxic', 'Hidden Power', 'Taunt', 'Frustration', 'Smack Down', 'Return', 'Double Team', 'Sludge Bomb', 'Attract', 'Low Sweep', 'Round', 'Payback', 'Stone Edge', 'Gyro Ball', 'Swords Dance', 'Swagger', 'Nature Power', 'Confide', 'Tackle', 'Flash', 'Retaliate', 'Rock Smash', 'Secret Power', 'Cut', 'Strength']"
#0651,Quilladin,['grass'],"['Overgrow', 'Bulletproof']",61,78,95,56,58,57,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",405,67,"['Growl', 'Vine Whip', 'Rollout', 'Bite', 'Leech Seed', 'Seed Bomb', 'Pin Missile', 'Take Down', 'Mud Shot', 'Bulk Up', 'Body Slam', 'Pain Split', 'Wood Hammer', 'Belly Drum', 'Curse', 'Quick Guard', 'Spikes', 'Super Fang', 'Synthesis', 'Wide Guard', 'Protect', 'Low Kick', 'Trailblaze', 'Facade', 'Aerial Ace', 'Bulldoze', 'Metal Claw', 'Swift', 'Magical Leaf', 'Rock Tomb', 'Low Sweep', 'Fling', 'Endure', 'Sunny Day', 'Rain Dance', 'Dig', 'Bullet Seed', 'Brick Break', 'Zen Headbutt', 'Shadow Claw', 'Thunder Punch', 'Sleep Talk', 'Drain Punch', 'Reflect', 'Grass Knot', 'Poison Jab', 'Stomping Tantrum', 'Rest', 'Rock Slide', 'Taunt', 'Iron Head', 'Substitute', 'Iron Defense', 'Giga Drain', 'Energy Ball', 'Helping Hand', 'Grassy Terrain', 'Grass Pledge', 'Stone Edge', 'Leaf Storm', 'Solar Beam', 'Tera Blast', 'Roar', 'Gyro Ball', 'Focus Punch', 'Grassy Glide', 'Endeavor', 'Needle Arm', 'Defense Curl', 'Power-Up Punch', 'Dual Chop', 'Iron Tail', 'Snore', 'Superpower', 'Worry Seed', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Smack Down', 'Return', 'Double Team', 'Sludge Bomb', 'Attract', 'Round', 'Payback', 'Swords Dance', 'Swagger', 'Nature Power', 'Confide', 'Tackle', 'Flash', 'Hone Claws', 'Retaliate', 'Rock Smash', 'Secret Power', 'Cut', 'Strength']"
#0652,Chesnaught,"['grass', 'fighting']","['Overgrow', 'Bulletproof']",88,107,122,74,75,64,"['normal', 'ground', 'rock', 'water', 'ice', 'dark']","['flying', 'poison', 'bug', 'ghost', 'fire', 'grass', 'psychic', 'dragon', 'fairy']","['ground', 'rock', 'water', 'grass', 'electric', 'dark']","['flying', 'poison', 'fire', 'psychic', 'ice', 'fairy']",530,88,"['Feint', 'Growl', 'Hammer Arm', 'Rollout', 'Tackle', 'Vine Whip', 'Bite', 'Leech Seed', 'Pin Missile', 'Take Down', 'Seed Bomb', 'Mud Shot', 'Bulk Up', 'Body Slam', 'Pain Split', 'Wood Hammer', 'Giga Impact', 'Spiky Shield', 'Belly Drum', 'Curse', 'Quick Guard', 'Spikes', 'Super Fang', 'Synthesis', 'Wide Guard', 'Mud-Slap', 'Scary Face', 'Protect', 'Low Kick', 'Trailblaze', 'Facade', 'Aerial Ace', 'Bulldoze', 'Metal Claw', 'Swift', 'Magical Leaf', 'Rock Tomb', 'Low Sweep', 'Fling', 'Endure', 'Sunny Day', 'Rain Dance', 'Dig', 'Bullet Seed', 'Brick Break', 'Zen Headbutt', 'Shadow Claw', 'Thunder Punch', 'Sleep Talk', 'Drain Punch', 'Reflect', 'Dragon Claw', 'Grass Knot', 'Poison Jab', 'Stomping Tantrum', 'Rest', 'Rock Slide', 'Taunt', 'Swords Dance', 'Body Press', 'Iron Head', 'Substitute', 'Iron Defense', 'Crunch', 'Giga Drain', 'Energy Ball', 'Helping Hand', 'Reversal', 'Grassy Terrain', 'Grass Pledge', 'Earthquake', 'Stone Edge', 'Frenzy Plant', 'Focus Blast', 'Leaf Storm', 'Hyper Beam', 'Close Combat', 'Solar Beam', 'Tera Blast', 'Roar', 'Smack Down', 'Gyro Ball', 'Knock Off', 'High Horsepower', 'Focus Punch', 'Grassy Glide', 'Double-Edge', 'Endeavor', 'Coaching', 'Needle Arm', 'Defense Curl', 'Power-Up Punch', 'Block', 'Dual Chop', 'Iron Tail', 'Snore', 'Superpower', 'Worry Seed', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Sludge Bomb', 'Attract', 'Round', 'Payback', 'Swagger', 'Nature Power', 'Confide', 'Flash', 'Hone Claws', 'Retaliate', 'Rock Smash', 'Secret Power', 'Cut', 'Strength']"
#0653,Fennekin,['fire'],"['Blaze', 'Magician']",40,45,40,62,60,60,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",307,51,"['Scratch', 'Tail Whip', 'Ember', 'Howl', 'Flame Charge', 'Psybeam', 'Fire Spin', 'Light Screen', 'Psyshock', 'Flamethrower', 'Will-O-Wisp', 'Psychic', 'Sunny Day', 'Fire Blast', 'Copycat', 'Heat Wave', 'Hypnosis', 'Magic Room', 'Wish', 'Take Down', 'Charm', 'Agility', 'Mud-Slap', 'Protect', 'Thief', 'Facade', 'Swift', 'Mud Shot', 'Stored Power', 'Endure', 'Rain Dance', 'Foul Play', 'Sleep Talk', 'Grass Knot', 'Rest', 'Imprison', 'Skill Swap', 'Substitute', 'Trick', 'Encore', 'Calm Mind', 'Helping Hand', 'Psychic Terrain', 'Fire Pledge', 'Overheat', 'Trick Room', 'Flare Blitz', 'Solar Beam', 'Tera Blast', 'Burning Jealousy', 'Lucky Chant', 'Magic Coat', 'Covet', 'Iron Tail', 'Snore', 'Work Up', 'Toxic', 'Hidden Power', 'Safeguard', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Echoed Voice', 'Embargo', 'Psych Up', 'Dream Eater', 'Swagger', 'Confide', 'Incinerate', 'Power-Up Punch', 'Secret Power', 'Cut']"
#0654,Braixen,['fire'],"['Blaze', 'Magician']",59,59,58,90,70,73,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",409,68,"['Ember', 'Scratch', 'Tail Whip', 'Howl', 'Flame Charge', 'Psybeam', 'Fire Spin', 'Light Screen', 'Psyshock', 'Flamethrower', 'Will-O-Wisp', 'Psychic', 'Sunny Day', 'Magic Room', 'Fire Blast', 'Copycat', 'Heat Wave', 'Hypnosis', 'Wish', 'Take Down', 'Charm', 'Agility', 'Mud-Slap', 'Protect', 'Low Kick', 'Thief', 'Facade', 'Swift', 'Mud Shot', 'Stored Power', 'Endure', 'Rain Dance', 'Zen Headbutt', 'Foul Play', 'Fire Punch', 'Thunder Punch', 'Sleep Talk', 'Grass Knot', 'Rest', 'Imprison', 'Skill Swap', 'Substitute', 'Trick', 'Encore', 'Calm Mind', 'Helping Hand', 'Psychic Terrain', 'Fire Pledge', 'Overheat', 'Trick Room', 'Flare Blitz', 'Solar Beam', 'Tera Blast', 'Burning Jealousy', 'Lucky Chant', 'Magic Coat', 'Ally Switch', 'Covet', 'Iron Tail', 'Laser Focus', 'Recycle', 'Shock Wave', 'Snatch', 'Snore', 'Telekinesis', 'Wonder Room', 'Work Up', 'Toxic', 'Hidden Power', 'Safeguard', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Echoed Voice', 'Embargo', 'Psych Up', 'Dream Eater', 'Swagger', 'Confide', 'Incinerate', 'Power-Up Punch', 'Secret Power', 'Cut']"
#0655,Delphox,"['fire', 'psychic']","['Blaze', 'Magician']",75,69,72,114,100,104,"['fighting', 'poison', 'bug', 'grass', 'ice']","['rock', 'fire', 'water', 'psychic', 'dragon', 'dark']","['fighting', 'steel', 'fire', 'grass', 'psychic', 'ice', 'fairy']","['ground', 'rock', 'ghost', 'water', 'dark']",534,89,"['Ember', 'Future Sight', 'Howl', 'Role Play', 'Scratch', 'Shadow Ball', 'Switcheroo', 'Tail Whip', 'Flame Charge', 'Psybeam', 'Fire Spin', 'Light Screen', 'Psyshock', 'Flamethrower', 'Will-O-Wisp', 'Psychic', 'Sunny Day', 'Magic Room', 'Fire Blast', 'Mystical Fire', 'Copycat', 'Heat Wave', 'Hypnosis', 'Wish', 'Take Down', 'Charm', 'Agility', 'Mud-Slap', 'Protect', 'Low Kick', 'Confuse Ray', 'Thief', 'Facade', 'Hex', 'Swift', 'Mud Shot', 'Stored Power', 'Night Shade', 'Endure', 'Rain Dance', 'Zen Headbutt', 'Foul Play', 'Fire Punch', 'Thunder Punch', 'Sleep Talk', 'Reflect', 'Dazzling Gleam', 'Metronome', 'Grass Knot', 'Rest', 'Imprison', 'Skill Swap', 'Substitute', 'Trick', 'Hyper Voice', 'Encore', 'Calm Mind', 'Helping Hand', 'Psychic Terrain', 'Nasty Plot', 'Fire Pledge', 'Giga Impact', 'Blast Burn', 'Overheat', 'Focus Blast', 'Trick Room', 'Hyper Beam', 'Flare Blitz', 'Solar Beam', 'Tera Blast', 'Burning Jealousy', 'Psych Up', 'Scorching Sands', 'Expanding Force', 'Psychic Noise', 'Lucky Chant', 'Magic Coat', 'Ally Switch', 'Covet', 'Iron Tail', 'Laser Focus', 'Recycle', 'Shock Wave', 'Signal Beam', 'Snatch', 'Snore', 'Telekinesis', 'Wonder Room', 'Work Up', 'Toxic', 'Hidden Power', 'Safeguard', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Echoed Voice', 'Embargo', 'Dream Eater', 'Swagger', 'Confide', 'Incinerate', 'Power-Up Punch', 'Secret Power', 'Cut']"
#0656,Froakie,['water'],"['Torrent', 'Protean']",41,56,40,62,44,71,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",314,52,"['Growl', 'Pound', 'Water Gun', 'Quick Attack', 'Lick', 'Water Pulse', 'Smokescreen', 'Round', 'Fling', 'Smack Down', 'Substitute', 'Bounce', 'Double Team', 'Hydro Pump', 'Counter', 'Retaliate', 'Spikes', 'Switcheroo', 'Toxic Spikes', 'Take Down', 'Mud-Slap', 'Protect', 'Acrobatics', 'Thief', 'Trailblaze', 'Chilling Water', 'Facade', 'Aerial Ace', 'Swift', 'Icy Wind', 'Mud Shot', 'Rock Tomb', 'Endure', 'Rain Dance', 'Snowscape', 'Dig', 'False Swipe', 'U-turn', 'Sleep Talk', 'Waterfall', 'Grass Knot', 'Rest', 'Rock Slide', 'Taunt', 'Liquidation', 'Surf', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Tera Blast', 'Bubble', 'Bestow', 'Camouflage', 'Mind Reader', 'Mud Sport', 'Power-Up Punch', 'Water Sport', 'Role Play', 'Snatch', 'Snore', 'Spite', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Attract', 'Echoed Voice', 'Scald', 'Swagger', 'Confide', 'Rock Smash', 'Secret Power', 'Cut', 'Dive', 'Strength']"
#0657,Frogadier,['water'],"['Torrent', 'Protean']",54,63,52,83,56,97,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",405,67,"['Growl', 'Pound', 'Water Gun', 'Quick Attack', 'Lick', 'Water Pulse', 'Smokescreen', 'Round', 'Fling', 'Smack Down', 'Substitute', 'Bounce', 'Double Team', 'Hydro Pump', 'Counter', 'Retaliate', 'Spikes', 'Switcheroo', 'Toxic Spikes', 'Take Down', 'Mud-Slap', 'Protect', 'Low Kick', 'Acrobatics', 'Thief', 'Trailblaze', 'Chilling Water', 'Facade', 'Aerial Ace', 'Swift', 'Icy Wind', 'Mud Shot', 'Rock Tomb', 'Endure', 'Rain Dance', 'Snowscape', 'Dig', 'False Swipe', 'U-turn', 'Ice Punch', 'Sleep Talk', 'Waterfall', 'Grass Knot', 'Rest', 'Rock Slide', 'Taunt', 'Swords Dance', 'Gunk Shot', 'Liquidation', 'Surf', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Tera Blast', 'Bubble', 'Bestow', 'Camouflage', 'Mind Reader', 'Mud Sport', 'Power-Up Punch', 'Water Sport', 'Role Play', 'Snatch', 'Snore', 'Spite', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Attract', 'Echoed Voice', 'Scald', 'Swagger', 'Dark Pulse', 'Confide', 'Rock Smash', 'Secret Power', 'Cut', 'Dive', 'Strength']"
#0658,Greninja,"['water', 'dark']","['Torrent', 'Protean']",72,95,67,103,71,122,"['ground', 'rock', 'ghost', 'fire', 'psychic']","['fighting', 'water', 'grass', 'dragon', 'fairy', 'dark']","['ghost', 'steel', 'fire', 'water', 'psychic', 'ice', 'dark']","['fighting', 'bug', 'grass', 'electric', 'fairy']",530,88,"['Growl', 'Haze', 'Night Slash', 'Pound', 'Quick Attack', 'Role Play', 'Water Gun', 'Lick', 'Water Pulse', 'Smokescreen', 'Shadow Sneak', 'Spikes', 'Aerial Ace', 'Substitute', 'Extrasensory', 'Double Team', 'Hydro Pump', 'Water Shuriken', 'Counter', 'Retaliate', 'Switcheroo', 'Toxic Spikes', 'Take Down', 'Mud-Slap', 'Protect', 'Low Kick', 'Acrobatics', 'Thief', 'Trailblaze', 'Chilling Water', 'Facade', 'Swift', 'Icy Wind', 'Mud Shot', 'Rock Tomb', 'Low Sweep', 'Fling', 'Endure', 'Rain Dance', 'Snowscape', 'Dig', 'False Swipe', 'Brick Break', 'U-turn', 'Ice Punch', 'Sleep Talk', 'Waterfall', 'Grass Knot', 'Rest', 'Rock Slide', 'Taunt', 'Swords Dance', 'Dark Pulse', 'Gunk Shot', 'Liquidation', 'Surf', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Giga Impact', 'Hydro Cannon', 'Hyper Beam', 'Tera Blast', 'Smack Down', 'Weather Ball', 'Sludge Wave', 'Upper Hand', 'Bubble', 'Mat Block', 'Feint Attack', 'Bestow', 'Camouflage', 'Mind Reader', 'Mud Sport', 'Power-Up Punch', 'Water Sport', 'Bounce', 'Snatch', 'Snore', 'Spite', 'Round', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Attract', 'Echoed Voice', 'Scald', 'Brutal Swing', 'Swagger', 'Confide', 'Rock Smash', 'Secret Power', 'Cut', 'Dive', 'Strength']"
#0659,Bunnelby,['normal'],"['Pickup', 'Cheek Pouch', 'Huge Power']",38,36,38,32,36,57,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],237,39,"['Leer', 'Mud-Slap', 'Tackle', 'Laser Focus', 'Quick Attack', 'Mud Shot', 'Flail', 'Double Kick', 'Bulldoze', 'Dig', 'Bounce', 'Take Down', 'Swords Dance', 'Earthquake', 'Super Fang', 'Defense Curl', 'Rollout', 'Rest', 'Rock Slide', 'Thief', 'Snore', 'Protect', 'Attract', 'Sandstorm', 'Facade', 'Brick Break', 'Rock Tomb', 'U-turn', 'Payback', 'Fling', 'Round', 'Surf', 'Agility', 'Substitute', 'Sludge Bomb', 'Spikes', 'Endure', 'Sleep Talk', 'Iron Tail', 'Bulk Up', 'Iron Head', 'Stone Edge', 'Grass Knot', 'Work Up', 'Wild Charge', 'Double Slap', 'Odor Sleuth', 'Endeavor', 'Last Resort', 'Recycle', 'Toxic', 'Hidden Power', 'Frustration', 'Smack Down', 'Return', 'Double Team', 'Torment', 'Swagger', 'Nature Power', 'Confide', 'Power-Up Punch', 'Rock Smash', 'Secret Power', 'Cut', 'Strength']"
