Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg,moves
#0906,Sprigatito,['grass'],"['Overgrow', 'Protean']",40,61,54,45,45,65,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",310,51,"['Leafage', 'Scratch', 'Tail Whip', 'Bite', 'Hone Claws', 'Magical Leaf', 'Quick Attack', 'Seed Bomb', 'U-turn', 'Worry Seed', 'Slash', 'Energy Ball', 'Play Rough', 'Ally Switch', 'Copycat', 'Leech Seed', 'Petal Blizzard', 'Sucker Punch', 'Take Down', 'Charm', 'Fake Tears', 'Agility', 'Mud-Slap', 'Protect', 'Acrobatics', 'Disarming Voice', 'Trailblaze', 'Facade', 'Swift', 'Endure', 'Bullet Seed', 'Shadow Claw', 'Sleep Talk', 'Grass Knot', 'Rest', 'Taunt', 'Substitute', 'Giga Drain', 'Helping Hand', 'Grassy Terrain', 'Nasty Plot', 'Grass Pledge', 'Leaf Storm', 'Solar Beam', 'Tera Blast', 'Grassy Glide']"
#0907,Floragato,['grass'],"['Overgrow', 'Protean']",61,80,63,60,63,83,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",410,68,"['Leafage', 'Scratch', 'Tail Whip', 'Bite', 'Hone Claws', 'Magical Leaf', 'Quick Attack', 'Seed Bomb', 'U-turn', 'Worry Seed', 'Slash', 'Energy Ball', 'Play Rough', 'Leaf Storm', 'Ally Switch', 'Copycat', 'Leech Seed', 'Petal Blizzard', 'Sucker Punch', 'Take Down', 'Charm', 'Fake Tears', 'Agility', 'Mud-Slap', 'Protect', 'Low Kick', 'Acrobatics', 'Disarming Voice', 'Trailblaze', 'Facade', 'Aerial Ace', 'Swift', 'Low Sweep', 'Fling', 'Endure', 'Bullet Seed', 'Shadow Claw', 'Thunder Punch', 'Sleep Talk', 'Grass Knot', 'Rest', 'Taunt', 'Substitute', 'Giga Drain', 'Helping Hand', 'Grassy Terrain', 'Nasty Plot', 'Grass Pledge', 'Solar Beam', 'Tera Blast', 'Grassy Glide']"
#0908,Meowscarada,"['grass', 'dark']","['Overgrow', 'Protean']",76,110,70,81,70,123,"['ground', 'rock', 'ghost', 'water', 'psychic']","['fighting', 'flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon', 'fairy', 'dark']","['ground', 'ghost', 'water', 'grass', 'electric', 'psychic', 'dark']","['fighting', 'flying', 'poison', 'bug', 'fire', 'ice', 'fairy']",530,88,"['Leafage', 'Scratch', 'Tail Whip', 'Bite', 'Hone Claws', 'Magical Leaf', 'Quick Attack', 'Seed Bomb', 'U-turn', 'Worry Seed', 'Slash', 'Night Slash', 'Energy Ball', 'Play Rough', 'Knock Off', 'Grassy Terrain', 'Leaf Storm', 'Flower Trick', 'Double Team', 'Trick', 'Ally Switch', 'Copycat', 'Leech Seed', 'Petal Blizzard', 'Sucker Punch', 'Take Down', 'Charm', 'Fake Tears', 'Agility', 'Mud-Slap', 'Protect', 'Low Kick', 'Acrobatics', 'Thief', 'Disarming Voice', 'Trailblaze', 'Chilling Water', 'Facade', 'Aerial Ace', 'Swift', 'Low Sweep', 'Fling', 'Endure', 'Bullet Seed', 'Brick Break', 'Shadow Claw', 'Foul Play', 'Thunder Punch', 'Sleep Talk', 'Grass Knot', 'Rest', 'Taunt', 'Spikes', 'Toxic Spikes', 'Dark Pulse', 'Skill Swap', 'Power Gem', 'Substitute', 'Giga Drain', 'Aura Sphere', 'Shadow Ball', 'Helping Hand', 'Pollen Puff', 'Nasty Plot', 'Grass Pledge', 'Giga Impact', 'Frenzy Plant', 'Trick Room', 'Hyper Beam', 'Solar Beam', 'Tera Blast', 'Grassy Glide', 'Lash Out', 'Psych Up', 'Triple Axel', 'Throat Chop']"
#0909,Fuecoco,['fire'],"['Blaze', 'Unaware']",67,45,59,63,40,36,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",310,51,"['Ember', 'Leer', 'Tackle', 'Round', 'Bite', 'Incinerate', 'Yawn', 'Snarl', 'Roar', 'Flamethrower', 'Hyper Voice', 'Fire Blast', 'Belch', 'Curse', 'Encore', 'Slack Off', 'Take Down', 'Mud-Slap', 'Protect', 'Fire Fang', 'Thunder Fang', 'Disarming Voice', 'Fire Spin', 'Facade', 'Flame Charge', 'Endure', 'Sunny Day', 'Dig', 'Zen Headbutt', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Stomping Tantrum', 'Rest', 'Substitute', 'Will-O-Wisp', 'Crunch', 'Heat Wave', 'Helping Hand', 'Fire Pledge', 'Outrage', 'Overheat', 'Flare Blitz', 'Tera Blast', 'Temper Flare']"
#0910,Crocalor,['fire'],"['Blaze', 'Unaware']",81,55,78,90,58,49,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",411,68,"['Ember', 'Leer', 'Tackle', 'Lick', 'Round', 'Bite', 'Yawn', 'Incinerate', 'Snarl', 'Roar', 'Flamethrower', 'Hyper Voice', 'Will-O-Wisp', 'Fire Blast', 'Belch', 'Curse', 'Encore', 'Slack Off', 'Take Down', 'Mud-Slap', 'Protect', 'Fire Fang', 'Thunder Fang', 'Disarming Voice', 'Fire Spin', 'Facade', 'Flame Charge', 'Endure', 'Sunny Day', 'Dig', 'Zen Headbutt', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Stomping Tantrum', 'Rest', 'Substitute', 'Crunch', 'Heat Wave', 'Helping Hand', 'Fire Pledge', 'Outrage', 'Overheat', 'Flare Blitz', 'Tera Blast', 'Temper Flare']"
#0911,Skeledirge,"['fire', 'ghost']","['Blaze', 'Unaware']",104,75,100,110,75,66,"['bug', 'ghost', 'steel', 'grass', 'psychic', 'ice']","['normal', 'rock', 'fire', 'water', 'dragon', 'dark']","['normal', 'fighting', 'poison', 'bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'ghost', 'water', 'dark']",530,88,"['Ember', 'Leer', 'Tackle', 'Lick', 'Round', 'Scary Face', 'Bite', 'Incinerate', 'Snarl', 'Roar', 'Flamethrower', 'Shadow Ball', 'Hyper Voice', 'Hex', 'Will-O-Wisp', 'Fire Blast', 'Overheat', 'Torch Song', 'Sing', 'Yawn', 'Belch', 'Curse', 'Encore', 'Slack Off', 'Take Down', 'Mud-Slap', 'Protect', 'Fire Fang', 'Thunder Fang', 'Disarming Voice', 'Fire Spin', 'Facade', 'Flame Charge', 'Night Shade', 'Endure', 'Sunny Day', 'Dig', 'Zen Headbutt', 'Shadow Claw', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Stomping Tantrum', 'Rest', 'Imprison', 'Substitute', 'Crunch', 'Heat Wave', 'Helping Hand', 'Earth Power', 'Fire Pledge', 'Earthquake', 'Giga Impact', 'Blast Burn', 'Outrage', 'Hyper Beam', 'Flare Blitz', 'Solar Beam', 'Tera Blast', 'Heat Crash', 'Poltergeist', 'Temper Flare', 'Scorching Sands', 'Alluring Voice']"
#0912,Quaxly,['water'],"['Torrent', 'Moxie']",55,65,45,50,45,50,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",310,51,"['Growl', 'Pound', 'Water Gun', 'Work Up', 'Wing Attack', 'Aqua Jet', 'Double Hit', 'Aqua Cutter', 'Air Slash', 'Focus Energy', 'Acrobatics', 'Liquidation', 'Detect', 'Last Resort', 'Rapid Spin', 'Roost', 'Take Down', 'Protect', 'Low Kick', 'Disarming Voice', 'Chilling Water', 'Facade', 'Aerial Ace', 'Swift', 'Air Cutter', 'Endure', 'Rain Dance', 'Sleep Talk', 'Rest', 'Substitute', 'Encore', 'Surf', 'Helping Hand', 'Baton Pass', 'Misty Terrain', 'Hydro Pump', 'Water Pledge', 'Brave Bird', 'Tera Blast', 'Psych Up', 'Whirlpool']"
#0913,Quaxwell,['water'],"['Torrent', 'Moxie']",70,85,65,65,60,65,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",410,68,"['Double Hit', 'Growl', 'Pound', 'Water Gun', 'Work Up', 'Wing Attack', 'Aqua Jet', 'Water Pulse', 'Low Sweep', 'Aqua Cutter', 'Air Slash', 'Focus Energy', 'Acrobatics', 'Liquidation', 'Feather Dance', 'Detect', 'Last Resort', 'Rapid Spin', 'Roost', 'Take Down', 'Protect', 'Low Kick', 'Disarming Voice', 'Chilling Water', 'Facade', 'Aerial Ace', 'Swift', 'Air Cutter', 'Endure', 'Rain Dance', 'Sleep Talk', 'Rest', 'Substitute', 'Encore', 'Surf', 'Helping Hand', 'Baton Pass', 'Misty Terrain', 'Hydro Pump', 'Water Pledge', 'Brave Bird', 'Tera Blast', 'Flip Turn', 'Psych Up', 'Whirlpool', 'Triple Axel']"
#0914,Quaquaval,"['water', 'fighting']","['Torrent', 'Moxie']",85,120,80,85,75,85,"['normal', 'ground', 'rock', 'steel', 'fire', 'ice', 'dark']","['flying', 'poison', 'bug', 'ghost', 'water', 'grass', 'psychic', 'dragon', 'fairy']","['rock', 'bug', 'steel', 'fire', 'water', 'ice', 'dark']","['flying', 'grass', 'electric', 'psychic', 'fairy']",530,88,"['Double Hit', 'Growl', 'Pound', 'Water Gun', 'Work Up', 'Wing Attack', 'Aqua Jet', 'Low Sweep', 'Water Pulse', 'Aqua Cutter', 'Air Slash', 'Focus Energy', 'Mega Kick', 'Acrobatics', 'Liquidation', 'Feather Dance', 'Close Combat', 'Wave Crash', 'Aqua Step', 'Counter', 'Detect', 'Last Resort', 'Rapid Spin', 'Roost', 'Take Down', 'Agility', 'Protect', 'Low Kick', 'Disarming Voice', 'Chilling Water', 'Facade', 'Aerial Ace', 'Swift', 'Icy Wind', 'Air Cutter', 'Fling', 'Endure', 'Rain Dance', 'Brick Break', 'U-turn', 'Bulk Up', 'Sleep Talk', 'Rest', 'Taunt', 'Swords Dance', 'Substitute', 'Encore', 'Surf', 'Ice Spinner', 'Helping Hand', 'Baton Pass', 'Reversal', 'Misty Terrain', 'Hydro Pump', 'Water Pledge', 'Giga Impact', 'Hydro Cannon', 'Hurricane', 'Hyper Beam', 'Brave Bird', 'Tera Blast', 'Knock Off', 'Flip Turn', 'Psych Up', 'Endeavor', 'Whirlpool', 'Triple Axel', 'Coaching', 'Upper Hand']"
#0915,Lechonk,['normal'],"['Aroma Veil', 'Gluttony', 'Thick Fat']",54,45,40,35,45,35,[],"['rock', 'ghost', 'steel']",['ghost'],['fighting'],254,42,"['Tackle', 'Tail Whip', 'Disarming Voice', 'Echoed Voice', 'Mud Shot', 'Covet', 'Dig', 'Headbutt', 'Yawn', 'Take Down', 'Work Up', 'Uproar', 'Double-Edge', 'Endeavor', 'Spit Up', 'Stockpile', 'Stuff Cheeks', 'Swallow', 'Mud-Slap', 'Protect', 'Thief', 'Trailblaze', 'Chilling Water', 'Facade', 'Bulldoze', 'Endure', 'Sunny Day', 'Rain Dance', 'Bullet Seed', 'Zen Headbutt', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Rest', 'Iron Head', 'Substitute', 'Hyper Voice', 'Play Rough', 'Helping Hand', 'Tera Blast', 'Super Fang', 'Curse']"
