name,type,catagory,power,accuracy,pp,effect
Acupressure,normal,status,none,none,30,Sharply raises a random stat.
Air Slash,flying,special,75,95,15,May cause flinching.
Aqua Jet,water,physical,40,100,20,User attacks first.
Aqua Ring,water,status,none,none,20,Restores a little HP each turn.
Aqua Tail,water,physical,90,90,10,none
Assurance,dark,physical,60,100,10,Power doubles if opponent already took damage in the same turn.
Attack Order,bug,physical,90,100,15,High critical hit ratio.
Aura Sphere,fighting,special,80,∞,20,Ignores Accuracy and Evasiveness.
Avalanche,ice,physical,60,100,10,Power doubles if user took damage first.
Brave Bird,flying,physical,120,100,15,User receives recoil damage.
Brine,water,special,65,100,10,Power doubles if opponent's HP is less than 50%.
Bug Bite,bug,physical,60,100,20,Receives the effect from the opponent's held berry.
Bug Buzz,bug,special,90,100,10,May lower opponent's Special Defense.
Bullet Punch,steel,physical,40,100,30,User attacks first.
Captivate,normal,status,none,100,20,Sharply lowers opponent's Special Attack if opposite gender.
Charge Beam,electric,special,50,90,10,May raise user's Special Attack.
Chatter,flying,special,65,100,20,Confuses opponent.
Close Combat,fighting,physical,120,100,5,Lowers user's Defense and Special Defense.
Copycat,normal,status,none,none,20,Copies opponent's last move.
Cross Poison,poison,physical,70,100,20,High critical hit ratio. May poison opponent.
Crush Grip,normal,physical,none,100,5,More powerful when opponent has higher HP.
Dark Pulse,dark,special,80,100,15,May cause flinching.
Dark Void,dark,status,none,50,10,Puts all adjacent opponents to sleep.
Defend Order,bug,status,none,none,10,Raises user's Defense and Special Defense.
Defog,flying,status,none,none,15,Lowers opponent's Evasiveness and clears fog.
Discharge,electric,special,80,100,15,May paralyze opponent.
Double Hit,normal,physical,35,90,10,Hits twice in one turn.
Draco Meteor,dragon,special,130,90,5,Sharply lowers user's Special Attack.
Dragon Pulse,dragon,special,85,100,10,none
Dragon Rush,dragon,physical,100,75,10,May cause flinching.
Drain Punch,fighting,physical,75,100,10,User recovers half the HP inflicted on opponent.
Earth Power,ground,special,90,100,10,May lower opponent's Special Defense.
Embargo,dark,status,none,100,15,Opponent cannot use items.
Energy Ball,grass,special,90,100,10,May lower opponent's Special Defense.
Feint,normal,physical,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.
Fire Fang,fire,physical,65,95,15,May cause flinching and/or burn opponent.
Flare Blitz,fire,physical,120,100,15,User receives recoil damage. May burn opponent.
Flash Cannon,steel,special,80,100,10,May lower opponent's Special Defense.
Fling,dark,physical,none,100,10,Power depends on held item.
Focus Blast,fighting,special,120,70,5,May lower opponent's Special Defense.
Force Palm,fighting,physical,60,100,10,May paralyze opponent.
Gastro Acid,poison,status,none,100,10,Cancels out the effect of the opponent's Ability.
Giga Impact,normal,physical,150,90,5,User must recharge next turn.
Grass Knot,grass,special,none,100,20,"The heavier the opponent, the stronger the attack."
Gravity,psychic,status,none,none,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.
Guard Swap,psychic,status,none,none,10,User and opponent swap Defense and Special Defense.
Gunk Shot,poison,physical,120,80,5,May poison opponent.
Gyro Ball,steel,physical,none,100,5,"The slower the user, the stronger the attack."
Hammer Arm,fighting,physical,100,90,10,Lowers user's Speed.
Head Smash,rock,physical,150,80,5,User receives recoil damage.
Heal Block,psychic,status,none,100,15,Prevents the opponent from restoring HP for 5 turns.
Heal Order,bug,status,none,none,10,User recovers half its max HP.
Healing Wish,psychic,status,none,none,10,The user faints and the next Pokémon released is fully healed.
Heart Swap,psychic,status,none,none,10,Stat changes are swapped with the opponent.
Ice Fang,ice,physical,65,95,15,May cause flinching and/or freeze opponent.
Ice Shard,ice,physical,40,100,30,User attacks first.
Iron Head,steel,physical,80,100,15,May cause flinching.
Judgment,normal,special,100,100,10,Type depends on the Arceus Plate being held.
Last Resort,normal,physical,140,100,5,Can only be used after all other moves are used.
Lava Plume,fire,special,80,100,15,May burn opponent.
Leaf Storm,grass,special,130,90,5,Sharply lowers user's Special Attack.
Lucky Chant,normal,status,none,none,30,Opponent cannot land critical hits for 5 turns.
Lunar Dance,psychic,status,none,none,10,The user faints but the next Pokémon released is fully healed.
Magma Storm,fire,special,100,75,5,"Traps opponent, damaging them for 4-5 turns."
Magnet Bomb,steel,physical,60,∞,20,Ignores Accuracy and Evasiveness.
Magnet Rise,electric,status,none,none,10,User becomes immune to Ground-type moves for 5 turns.
Me First,normal,status,none,none,20,User copies the opponent's attack with 1.5× power.
Metal Burst,steel,physical,none,100,10,Deals damage equal to 1.5x opponent's attack.
Miracle Eye,psychic,status,none,none,40,"Resets opponent's Evasiveness, removes Dark's Psychic immunity."
Mirror Shot,steel,special,65,85,10,May lower opponent's Accuracy.
Mud Bomb,ground,special,65,85,10,May lower opponent's Accuracy.
Nasty Plot,dark,status,none,none,20,Sharply raises user's Special Attack.
Natural Gift,normal,physical,none,100,15,Power and type depend on the user's held berry.
Night Slash,dark,physical,70,100,15,High critical hit ratio.
Ominous Wind,ghost,special,60,100,5,May raise all user's stats at once.
Payback,dark,physical,50,100,10,Power doubles if the user was attacked first.
Pluck,flying,physical,60,100,20,"If the opponent is holding a berry, its effect is stolen by user."
Poison Jab,poison,physical,80,100,20,May poison the opponent.
Power Gem,rock,special,80,100,20,none
Power Swap,psychic,status,none,none,10,User and opponent swap Attack and Special Attack.
Power Trick,psychic,status,none,none,10,User's own Attack and Defense switch.
Power Whip,grass,physical,120,85,10,none
Psycho Cut,psychic,physical,70,100,20,High critical hit ratio.
Psycho Shift,psychic,status,none,100,10,Transfers user's status condition to the opponent.
Punishment,dark,physical,none,100,5,Power increases when opponent's stats have been raised.
Roar of Time,dragon,special,150,90,5,User must recharge next turn.
Rock Climb,normal,physical,90,85,20,May confuse opponent.
Rock Polish,rock,status,none,none,20,Sharply raises user's Speed.
Rock Wrecker,rock,physical,150,90,5,User must recharge next turn.
Roost,flying,status,none,none,10,User recovers half of its max HP and loses the Flying type temporarily.
Seed Bomb,grass,physical,80,100,15,none
Seed Flare,grass,special,120,85,5,May lower opponent's Special Defense.
Shadow Claw,ghost,physical,70,100,15,High critical hit ratio.
Shadow Force,ghost,physical,120,100,5,"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
Shadow Sneak,ghost,physical,40,100,30,User attacks first.
Spacial Rend,dragon,special,100,95,5,High critical hit ratio.
Stealth Rock,rock,status,none,none,20,Damages opponent switching into battle.
Stone Edge,rock,physical,100,80,5,High critical hit ratio.
Sucker Punch,dark,physical,70,100,5,"User attacks first, but only works if opponent is readying an attack."
Switcheroo,dark,status,none,100,10,Swaps held items with the opponent.
Tailwind,flying,status,none,none,15,Doubles Speed for 4 turns.
Thunder Fang,electric,physical,65,95,15,May cause flinching and/or paralyze opponent.
Toxic Spikes,poison,status,none,none,20,Poisons opponents when they switch into battle.
Trick Room,psychic,status,none,none,5,Slower Pokémon move first in the turn for 5 turns.
