Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg,moves
#0722,Rowlet,"['grass', 'flying']","['Overgrow', 'Long Reach']",68,55,55,50,50,42,"['fighting', 'ground', 'water']","['flying', 'poison', 'steel', 'fire', 'electric', 'dragon']","['fighting', 'ground', 'water', 'grass']","['flying', 'poison', 'rock', 'fire', 'ice']",320,53,"['Leafage', 'Growl', 'Tackle', 'Astonish', 'Peck', 'Shadow Sneak', 'Razor Leaf', 'Synthesis', 'Pluck', 'Nasty Plot', 'Sucker Punch', 'Leaf Blade', 'Feather Dance', 'Brave Bird', 'Confuse Ray', 'Defog', 'Double Team', 'Knock Off', 'Roost', 'Take Down', 'Protect', 'Trailblaze', 'Facade', 'Aerial Ace', 'Swift', 'Magical Leaf', 'Air Cutter', 'Night Shade', 'Endure', 'Sunny Day', 'Rain Dance', 'Bullet Seed', 'False Swipe', 'Shadow Claw', 'Air Slash', 'Sleep Talk', 'Seed Bomb', 'Light Screen', 'Grass Knot', 'Rest', 'Swords Dance', 'Substitute', 'Giga Drain', 'Energy Ball', 'Helping Hand', 'Grassy Terrain', 'Grass Pledge', 'Leaf Storm', 'Solar Beam', 'Tera Blast', 'Gust', 'Psycho Cut']"
#0723,Dartrix,"['grass', 'flying']","['Overgrow', 'Long Reach']",78,75,75,70,70,52,"['fighting', 'ground', 'water']","['flying', 'poison', 'steel', 'fire', 'electric', 'dragon']","['fighting', 'ground', 'water', 'grass']","['flying', 'poison', 'rock', 'fire', 'ice']",420,70,"['Astonish', 'Growl', 'Leafage', 'Tackle', 'Peck', 'Shadow Sneak', 'Razor Leaf', 'Synthesis', 'Pluck', 'Nasty Plot', 'Sucker Punch', 'Leaf Blade', 'Feather Dance', 'Brave Bird', 'Confuse Ray', 'Defog', 'Double Team', 'Knock Off', 'Roost', 'Take Down', 'Protect', 'Trailblaze', 'Facade', 'Aerial Ace', 'Swift', 'Magical Leaf', 'Air Cutter', 'Night Shade', 'Endure', 'Sunny Day', 'Rain Dance', 'Bullet Seed', 'False Swipe', 'Shadow Claw', 'Air Slash', 'Sleep Talk', 'Seed Bomb', 'Light Screen', 'Grass Knot', 'Rest', 'Swords Dance', 'Substitute', 'Giga Drain', 'Tailwind', 'Energy Ball', 'Helping Hand', 'Baton Pass', 'Grassy Terrain', 'Grass Pledge', 'Leaf Storm', 'Solar Beam', 'Tera Blast', 'Haze', 'Grassy Glide', 'Dual Wingbeat', 'Gust', 'Psycho Cut']"
#0724,Decidueye,"['grass', 'ghost']","['Overgrow', 'Long Reach']",78,107,75,100,100,70,"['ground', 'rock', 'ghost', 'water', 'psychic']","['normal', 'flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon', 'dark']","['normal', 'fighting', 'ground', 'water', 'grass', 'electric']","['flying', 'ghost', 'fire', 'ice', 'dark']",530,88,"['Astonish', 'Growl', 'Leaf Storm', 'Leafage', 'Phantom Force', 'Spite', 'Tackle', 'U-turn', 'Peck', 'Shadow Sneak', 'Razor Leaf', 'Synthesis', 'Pluck', 'Nasty Plot', 'Sucker Punch', 'Leaf Blade', 'Feather Dance', 'Brave Bird', 'Bulk Up', 'Spirit Shackle', 'Triple Arrows', 'Confuse Ray', 'Defog', 'Double Team', 'Knock Off', 'Roost', 'Take Down', 'Protect', 'Low Kick', 'Acrobatics', 'Trailblaze', 'Facade', 'Aerial Ace', 'Hex', 'Swift', 'Magical Leaf', 'Low Sweep', 'Air Cutter', 'Night Shade', 'Endure', 'Sunny Day', 'Rain Dance', 'Bullet Seed', 'False Swipe', 'Shadow Claw', 'Air Slash', 'Sleep Talk', 'Seed Bomb', 'Light Screen', 'Grass Knot', 'Rest', 'Swords Dance', 'Imprison', 'Substitute', 'Giga Drain', 'Tailwind', 'Shadow Ball', 'Energy Ball', 'Helping Hand', 'Baton Pass', 'Grassy Terrain', 'Grass Pledge', 'Giga Impact', 'Frenzy Plant', 'Hurricane', 'Hyper Beam', 'Solar Beam', 'Tera Blast', 'Haze', 'Smack Down', 'Solar Blade', 'Grassy Glide', 'Dual Wingbeat', 'Poltergeist', 'Skitter Smack', 'Curse', 'Scary Face', 'Rock Tomb', 'Brick Break', 'Taunt', 'Aura Sphere', 'Reversal', 'Focus Blast', 'Close Combat', 'Focus Punch', 'Coaching', 'Upper Hand', 'Rock Smash', 'Gust', 'Focus Energy', 'Psycho Cut', 'Spikes']"
#0725,Litten,['fire'],"['Blaze', 'Intimidate']",45,65,40,60,40,70,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",320,53,"['Ember', 'Growl', 'Scratch', 'Lick', 'Roar', 'Fury Swipes', 'Bite', 'Double Kick', 'Fire Fang', 'Scary Face', 'Swagger', 'Flamethrower', 'Thrash', 'Flare Blitz', 'Fake Out', 'Parting Shot', 'Power Trip', 'Take Down', 'Protect', 'Acrobatics', 'Trailblaze', 'Fire Spin', 'Facade', 'Flame Charge', 'Endure', 'Sunny Day', 'U-turn', 'Shadow Claw', 'Bulk Up', 'Body Slam', 'Sleep Talk', 'Rest', 'Taunt', 'Swords Dance', 'Leech Life', 'Substitute', 'Will-O-Wisp', 'Crunch', 'Heat Wave', 'Helping Hand', 'Nasty Plot', 'Fire Blast', 'Fire Pledge', 'Outrage', 'Overheat', 'Tera Blast', 'Double-Edge', 'Endeavor', 'Temper Flare', 'Pay Day', 'Snore', 'Attract', 'Revenge', 'Round', 'Work Up']"
#0726,Torracat,['fire'],"['Blaze', 'Intimidate']",65,85,50,80,50,90,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",420,70,"['Ember', 'Growl', 'Lick', 'Scratch', 'Roar', 'Fury Swipes', 'Bite', 'Double Kick', 'Fire Fang', 'Scary Face', 'Swagger', 'Flamethrower', 'Thrash', 'Flare Blitz', 'Take Down', 'Protect', 'Acrobatics', 'Trailblaze', 'Fire Spin', 'Facade', 'Flame Charge', 'Endure', 'Sunny Day', 'U-turn', 'Shadow Claw', 'Bulk Up', 'Body Slam', 'Sleep Talk', 'Rest', 'Taunt', 'Swords Dance', 'Leech Life', 'Substitute', 'Will-O-Wisp', 'Crunch', 'Heat Wave', 'Helping Hand', 'Nasty Plot', 'Fire Blast', 'Fire Pledge', 'Outrage', 'Overheat', 'Tera Blast', 'Double-Edge', 'Endeavor', 'Temper Flare', 'Fake Out', 'Parting Shot', 'Power Trip', 'Pay Day', 'Snore', 'Attract', 'Revenge', 'Round', 'Work Up']"
#0727,Incineroar,"['fire', 'dark']","['Blaze', 'Intimidate']",95,115,90,80,90,60,"['bug', 'ghost', 'steel', 'grass', 'psychic', 'ice']","['fighting', 'rock', 'fire', 'water', 'dragon', 'fairy', 'dark']","['ghost', 'steel', 'fire', 'grass', 'psychic', 'ice', 'dark']","['fighting', 'ground', 'rock', 'water']",530,88,"['Bulk Up', 'Cross Chop', 'Ember', 'Lick', 'Roar', 'Fury Swipes', 'Bite', 'Double Kick', 'Fire Fang', 'Scary Face', 'Swagger', 'Flamethrower', 'Thrash', 'Flare Blitz', 'Darkest Lariat', 'Growl', 'Scratch', 'Throat Chop', 'Take Down', 'Protect', 'Low Kick', 'Acrobatics', 'Thief', 'Trailblaze', 'Fire Spin', 'Facade', 'Aerial Ace', 'Bulldoze', 'Snarl', 'Flame Charge', 'Low Sweep', 'Fling', 'Endure', 'Sunny Day', 'Brick Break', 'U-turn', 'Shadow Claw', 'Body Slam', 'Fire Punch', 'Thunder Punch', 'Sleep Talk', 'Drain Punch', 'Stomping Tantrum', 'Rest', 'Taunt', 'Swords Dance', 'Dark Pulse', 'Leech Life', 'Iron Head', 'Substitute', 'Will-O-Wisp', 'Crunch', 'Heat Wave', 'Helping Hand', 'Baton Pass', 'Reversal', 'Nasty Plot', 'Fire Blast', 'Fire Pledge', 'Earthquake', 'Giga Impact', 'Blast Burn', 'Outrage', 'Overheat', 'Focus Blast', 'Hyper Beam', 'Close Combat', 'Tera Blast', 'Knock Off', 'Heat Crash', 'Focus Punch', 'Burning Jealousy', 'Lash Out', 'Double-Edge', 'Endeavor', 'Temper Flare', 'Scorching Sands', 'Fake Out', 'Parting Shot', 'Power Trip', 'Mega Punch', 'Mega Kick', 'Pay Day', 'Snore', 'Attract', 'Revenge', 'Assurance', 'Round', 'Brutal Swing', 'Superpower', 'Blaze Kick', 'Work Up']"
#0728,Popplio,['water'],"['Torrent', 'Liquid Voice']",50,54,54,66,56,40,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",320,53,"['Water Gun', 'Growl', 'Pound', 'Disarming Voice', 'Aqua Jet', 'Baby-Doll Eyes', 'Icy Wind', 'Sing', 'Bubble Beam', 'Encore', 'Misty Terrain', 'Hyper Voice', 'Moonblast', 'Hydro Pump', 'Aqua Ring', 'Life Dew', 'Perish Song', 'Charm', 'Protect', 'Water Pulse', 'Acrobatics', 'Chilling Water', 'Facade', 'Swift', 'Draining Kiss', 'Endure', 'Rain Dance', 'Sleep Talk', 'Waterfall', 'Rest', 'Substitute', 'Surf', 'Ice Spinner', 'Play Rough', 'Amnesia', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Tera Blast', 'Uproar', 'Flip Turn', 'Whirlpool', 'Triple Axel', 'Snore', 'Attract', 'Hail', 'Dive', 'Brine', 'Wonder Room', 'Round', 'Iron Tail', 'Scald', 'Work Up']"
#0729,Brionne,['water'],"['Torrent', 'Liquid Voice']",60,69,69,91,81,50,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",420,70,"['Disarming Voice', 'Growl', 'Pound', 'Water Gun', 'Aqua Jet', 'Baby-Doll Eyes', 'Icy Wind', 'Sing', 'Bubble Beam', 'Encore', 'Misty Terrain', 'Hyper Voice', 'Moonblast', 'Hydro Pump', 'Charm', 'Protect', 'Water Pulse', 'Acrobatics', 'Chilling Water', 'Facade', 'Swift', 'Draining Kiss', 'Endure', 'Rain Dance', 'Body Slam', 'Sleep Talk', 'Waterfall', 'Rest', 'Substitute', 'Surf', 'Ice Spinner', 'Play Rough', 'Amnesia', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Tera Blast', 'Uproar', 'Flip Turn', 'Whirlpool', 'Triple Axel', 'Aqua Ring', 'Life Dew', 'Perish Song', 'Snore', 'Attract', 'Hail', 'Dive', 'Brine', 'Wonder Room', 'Round', 'Iron Tail', 'Scald', 'Work Up']"
#0730,Primarina,"['water', 'fairy']","['Torrent', 'Liquid Voice']",80,74,74,126,116,60,"['fighting', 'ground', 'rock', 'dark']","['poison', 'steel', 'water', 'grass']","['fighting', 'bug', 'fire', 'water', 'ice', 'dragon', 'dark']","['poison', 'grass', 'electric']",530,88,"['Disarming Voice', 'Growl', 'Pound', 'Water Gun', 'Aqua Jet', 'Baby-Doll Eyes', 'Icy Wind', 'Sing', 'Bubble Beam', 'Encore', 'Misty Terrain', 'Hyper Voice', 'Moonblast', 'Hydro Pump', 'Sparkling Aria', 'Charm', 'Protect', 'Water Pulse', 'Acrobatics', 'Chilling Water', 'Facade', 'Swift', 'Draining Kiss', 'Stored Power', 'Endure', 'Rain Dance', 'Snowscape', 'Body Slam', 'Sleep Talk', 'Reflect', 'Light Screen', 'Waterfall', 'Dazzling Gleam', 'Rest', 'Substitute', 'Liquidation', 'Shadow Ball', 'Energy Ball', 'Psychic', 'Surf', 'Ice Spinner', 'Play Rough', 'Amnesia', 'Calm Mind', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Giga Impact', 'Hydro Cannon', 'Hyper Beam', 'Tera Blast', 'Haze', 'Uproar', 'Weather Ball', 'Flip Turn', 'Misty Explosion', 'Psych Up', 'Whirlpool', 'Triple Axel', 'Alluring Voice', 'Psychic Noise', 'Aqua Ring', 'Life Dew', 'Perish Song', 'Snore', 'Attract', 'Hail', 'Dive', 'Brine', 'Wonder Room', 'Round', 'Iron Tail', 'Scald', 'Work Up']"
#0731,Pikipek,"['normal', 'flying']","['Keen Eye', 'Skill Link', 'Pickup']",35,75,30,30,30,65,"['fighting', 'bug', 'grass']","['rock', 'ghost', 'steel', 'electric']","['ground', 'bug', 'ghost', 'grass']","['rock', 'electric', 'ice']",265,44,"['Peck', 'Growl', 'Echoed Voice', 'Rock Smash', 'Supersonic', 'Pluck', 'Roost', 'Fury Attack', 'Screech', 'Drill Peck', 'Bullet Seed', 'Feather Dance', 'Hyper Voice', 'Boomburst', 'Gunk Shot', 'Sky Attack', 'Take Down', 'Protect', 'Acrobatics', 'Thief', 'Facade', 'Aerial Ace', 'Flame Charge', 'Air Cutter', 'Endure', 'Sunny Day', 'Brick Break', 'U-turn', 'Air Slash', 'Sleep Talk', 'Rest', 'Swords Dance', 'Fly', 'Substitute', 'Tailwind', 'Heat Wave', 'Helping Hand', 'Brave Bird', 'Tera Blast', 'Smack Down', 'Knock Off', 'Uproar', 'Dual Wingbeat', 'Endeavor', 'Mirror Move', 'Defog', 'Snore', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Steel Wing', 'Swagger', 'Confide']"
