Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg,moves
#0494,Victini,"['psychic', 'fire']",['Victory Star'],100,100,100,100,100,100,"['fighting', 'poison', 'bug', 'grass', 'ice']","['rock', 'fire', 'water', 'psychic', 'dragon', 'dark']","['fighting', 'steel', 'fire', 'grass', 'psychic', 'ice', 'fairy']","['ground', 'rock', 'ghost', 'water', 'dark']",600,100,"['Confusion', 'Flame Charge', 'Focus Energy', 'Quick Attack', 'V-create', 'Work Up', 'Incinerate', 'Stored Power', 'Headbutt', 'Endure', 'Zen Headbutt', 'Inferno', 'Reversal', 'Searing Shot', 'Double-Edge', 'Flare Blitz', 'Overheat', 'Final Gambit', 'Expanding Force', 'Scorching Sands', 'Mega Punch', 'Mega Kick', 'Fire Punch', 'Thunder Punch', 'Hyper Beam', 'Giga Impact', 'Solar Beam', 'Fire Spin', 'Thunder Wave', 'Light Screen', 'Safeguard', 'Rest', 'Snore', 'Protect', 'Sunny Day', 'Will-O-Wisp', 'Facade', 'Swift', 'Helping Hand', 'Brick Break', 'Bounce', 'U-turn', 'Fling', 'Power Swap', 'Guard Swap', 'Speed Swap', 'Trick Room', 'Round', 'Mystical Fire', 'Flamethrower', 'Thunderbolt', 'Thunder', 'Psychic', 'Fire Blast', 'Substitute', 'Psyshock', 'Sleep Talk', 'Baton Pass', 'Encore', 'Shadow Ball', 'Future Sight', 'Uproar', 'Heat Wave', 'Taunt', 'Trick', 'Skill Swap', 'Blaze Kick', 'Focus Blast', 'Energy Ball', 'Grass Knot', 'Wild Charge', 'Dazzling Gleam', 'Flame Burst', 'Laser Focus', 'Last Resort', 'Magic Coat', 'Role Play', 'Shock Wave', 'Signal Beam', 'Telekinesis', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Charge Beam', 'Embargo', 'Psych Up', 'Swagger', 'Confide', 'Blue Flare', 'Bolt Strike', 'Fusion Bolt', 'Fusion Flare', 'Glaciate', 'Flash', 'Power-Up Punch', 'Rock Smash', 'Secret Power']"
#0495,Snivy,['grass'],"['Overgrow', 'Contrary']",45,45,55,45,55,63,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",308,51,"['Tackle', 'Leer', 'Vine Whip', 'Wrap', 'Growth', 'Magical Leaf', 'Leech Seed', 'Mega Drain', 'Slam', 'Leaf Blade', 'Coil', 'Giga Drain', 'Gastro Acid', 'Leaf Storm', 'Glare', 'Iron Tail', 'Mean Look', 'Mirror Coat', 'Sweet Scent', 'Synthesis', 'Twister', 'Take Down', 'Protect', 'Trailblaze', 'Facade', 'Aerial Ace', 'Swift', 'Endure', 'Sunny Day', 'Bullet Seed', 'Sleep Talk', 'Seed Bomb', 'Reflect', 'Light Screen', 'Grass Knot', 'Rest', 'Taunt', 'Swords Dance', 'Substitute', 'Energy Ball', 'Calm Mind', 'Helping Hand', 'Grassy Terrain', 'Grass Pledge', 'Solar Beam', 'Tera Blast', 'Knock Off', 'Grassy Glide', 'Double-Edge', 'Petal Blizzard', 'Leaf Tornado', 'Wring Out', 'Captivate', 'Natural Gift', 'Pursuit', 'Aqua Tail', 'Bind', 'Defog', 'Snatch', 'Snore', 'Worry Seed', 'Work Up', 'Toxic', 'Hidden Power', 'Safeguard', 'Frustration', 'Return', 'Double Team', 'Torment', 'Attract', 'Round', 'Swagger', 'Nature Power', 'Confide', 'Flash', 'Secret Power', 'Cut']"
#0496,Servine,['grass'],"['Overgrow', 'Contrary']",60,60,75,60,75,83,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",413,68,"['Leer', 'Tackle', 'Vine Whip', 'Wrap', 'Growth', 'Magical Leaf', 'Leech Seed', 'Mega Drain', 'Slam', 'Leaf Blade', 'Coil', 'Giga Drain', 'Gastro Acid', 'Leaf Storm', 'Take Down', 'Protect', 'Trailblaze', 'Facade', 'Aerial Ace', 'Swift', 'Endure', 'Sunny Day', 'Bullet Seed', 'Sleep Talk', 'Seed Bomb', 'Reflect', 'Light Screen', 'Grass Knot', 'Rest', 'Taunt', 'Swords Dance', 'Substitute', 'Energy Ball', 'Calm Mind', 'Helping Hand', 'Grassy Terrain', 'Grass Pledge', 'Solar Beam', 'Tera Blast', 'Knock Off', 'Grassy Glide', 'Double-Edge', 'Petal Blizzard', 'Leaf Tornado', 'Wring Out', 'Captivate', 'Glare', 'Iron Tail', 'Mean Look', 'Mirror Coat', 'Natural Gift', 'Pursuit', 'Sweet Scent', 'Twister', 'Aqua Tail', 'Bind', 'Defog', 'Snatch', 'Snore', 'Synthesis', 'Worry Seed', 'Work Up', 'Toxic', 'Hidden Power', 'Safeguard', 'Frustration', 'Return', 'Double Team', 'Torment', 'Attract', 'Round', 'Swagger', 'Nature Power', 'Confide', 'Flash', 'Secret Power', 'Cut']"
#0497,Serperior,['grass'],"['Overgrow', 'Contrary']",75,75,95,75,95,113,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",528,88,"['Leer', 'Tackle', 'Vine Whip', 'Wrap', 'Growth', 'Magical Leaf', 'Leech Seed', 'Mega Drain', 'Slam', 'Leaf Blade', 'Coil', 'Giga Drain', 'Gastro Acid', 'Leaf Storm', 'Take Down', 'Scary Face', 'Protect', 'Trailblaze', 'Facade', 'Aerial Ace', 'Swift', 'Dragon Tail', 'Endure', 'Sunny Day', 'Bullet Seed', 'Body Slam', 'Sleep Talk', 'Seed Bomb', 'Reflect', 'Light Screen', 'Grass Knot', 'Rest', 'Taunt', 'Swords Dance', 'Substitute', 'Dragon Pulse', 'Energy Ball', 'Calm Mind', 'Helping Hand', 'Grassy Terrain', 'Grass Pledge', 'Giga Impact', 'Frenzy Plant', 'Outrage', 'Hyper Beam', 'Solar Beam', 'Tera Blast', 'Knock Off', 'Grassy Glide', 'Scale Shot', 'Double-Edge', 'Petal Blizzard', 'Breaking Swipe', 'Leaf Tornado', 'Wring Out', 'Captivate', 'Glare', 'Iron Tail', 'Mean Look', 'Mirror Coat', 'Natural Gift', 'Pursuit', 'Sweet Scent', 'Twister', 'Aqua Tail', 'Bind', 'Defog', 'Snatch', 'Snore', 'Synthesis', 'Worry Seed', 'Work Up', 'Toxic', 'Hidden Power', 'Safeguard', 'Frustration', 'Return', 'Double Team', 'Torment', 'Attract', 'Round', 'Brutal Swing', 'Swagger', 'Nature Power', 'Confide', 'Flash', 'Rock Smash', 'Secret Power', 'Cut', 'Strength']"
#0498,Tepig,['fire'],"['Blaze', 'Thick Fat']",65,63,45,45,45,45,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",308,51,"['Tackle', 'Tail Whip', 'Ember', 'Endure', 'Defense Curl', 'Flame Charge', 'Smog', 'Rollout', 'Take Down', 'Heat Crash', 'Assurance', 'Flamethrower', 'Head Smash', 'Roar', 'Flare Blitz', 'Sucker Punch', 'Superpower', 'Thrash', 'Yawn', 'Mud-Slap', 'Protect', 'Trailblaze', 'Fire Spin', 'Facade', 'Rock Tomb', 'Sunny Day', 'Dig', 'Zen Headbutt', 'Body Slam', 'Fire Punch', 'Sleep Talk', 'Grass Knot', 'Stomping Tantrum', 'Rest', 'Taunt', 'Substitute', 'Will-O-Wisp', 'Heat Wave', 'Heavy Slam', 'Helping Hand', 'Fire Blast', 'Fire Pledge', 'Wild Charge', 'Overheat', 'Solar Beam', 'Tera Blast', 'Gyro Ball', 'Double-Edge', 'Endeavor', 'Temper Flare', 'Curse', 'Odor Sleuth', 'Burn Up', 'Covet', 'Magnitude', 'Iron Tail', 'Snore', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Echoed Voice', 'Swagger', 'Confide', 'Incinerate', 'Rock Smash', 'Secret Power', 'Strength']"
#0499,Pignite,"['fire', 'fighting']","['Blaze', 'Thick Fat']",90,93,55,70,55,55,"['normal', 'steel', 'grass', 'ice', 'dark']","['flying', 'poison', 'ghost', 'fire', 'water', 'psychic', 'dragon', 'fairy']","['bug', 'steel', 'fire', 'grass', 'ice', 'dark']","['flying', 'ground', 'water', 'psychic']",418,69,"['Ember', 'Endure', 'Tackle', 'Tail Whip', 'Defense Curl', 'Flame Charge', 'Smog', 'Rollout', 'Take Down', 'Heat Crash', 'Assurance', 'Flamethrower', 'Head Smash', 'Roar', 'Flare Blitz', 'Arm Thrust', 'Mud-Slap', 'Scary Face', 'Protect', 'Low Kick', 'Trailblaze', 'Fire Spin', 'Facade', 'Bulldoze', 'Rock Tomb', 'Low Sweep', 'Fling', 'Sunny Day', 'Dig', 'Brick Break', 'Zen Headbutt', 'Bulk Up', 'Body Slam', 'Fire Punch', 'Thunder Punch', 'Sleep Talk', 'Drain Punch', 'Grass Knot', 'Poison Jab', 'Stomping Tantrum', 'Rest', 'Rock Slide', 'Taunt', 'Substitute', 'Will-O-Wisp', 'Heat Wave', 'Heavy Slam', 'Helping Hand', 'Reversal', 'Fire Blast', 'Fire Pledge', 'Wild Charge', 'Stone Edge', 'Overheat', 'Focus Blast', 'Close Combat', 'Solar Beam', 'Tera Blast', 'Gyro Ball', 'Knock Off', 'High Horsepower', 'Focus Punch', 'Double-Edge', 'Endeavor', 'Temper Flare', 'Coaching', 'Curse', 'Odor Sleuth', 'Burn Up', 'Covet', 'Magnitude', 'Sucker Punch', 'Superpower', 'Thrash', 'Yawn', 'Iron Tail', 'Snore', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Echoed Voice', 'Swagger', 'Confide', 'Incinerate', 'Power-Up Punch', 'Rock Smash', 'Secret Power', 'Strength']"
#0500,Emboar,"['fire', 'fighting']","['Blaze', 'Reckless']",110,123,65,100,65,65,"['normal', 'steel', 'grass', 'ice', 'dark']","['flying', 'poison', 'ghost', 'fire', 'water', 'psychic', 'dragon', 'fairy']","['bug', 'steel', 'fire', 'grass', 'ice', 'dark']","['flying', 'ground', 'water', 'psychic']",528,88,"['Arm Thrust', 'Ember', 'Tackle', 'Tail Whip', 'Defense Curl', 'Flame Charge', 'Smog', 'Rollout', 'Take Down', 'Heat Crash', 'Assurance', 'Flamethrower', 'Head Smash', 'Roar', 'Flare Blitz', 'Endure', 'Hammer Arm', 'Mud-Slap', 'Scary Face', 'Protect', 'Low Kick', 'Trailblaze', 'Fire Spin', 'Facade', 'Bulldoze', 'Rock Tomb', 'Low Sweep', 'Fling', 'Sunny Day', 'Dig', 'Brick Break', 'Zen Headbutt', 'Bulk Up', 'Body Slam', 'Fire Punch', 'Thunder Punch', 'Sleep Talk', 'Drain Punch', 'Grass Knot', 'Poison Jab', 'Stomping Tantrum', 'Rest', 'Rock Slide', 'Taunt', 'Body Press', 'Iron Head', 'Substitute', 'Will-O-Wisp', 'Heat Wave', 'Heavy Slam', 'Helping Hand', 'Reversal', 'Fire Blast', 'Fire Pledge', 'Wild Charge', 'Earthquake', 'Stone Edge', 'Giga Impact', 'Blast Burn', 'Overheat', 'Focus Blast', 'Hyper Beam', 'Close Combat', 'Solar Beam', 'Tera Blast', 'Smack Down', 'Gyro Ball', 'Knock Off', 'High Horsepower', 'Scald', 'Focus Punch', 'Double-Edge', 'Endeavor', 'Temper Flare', 'Coaching', 'Curse', 'Hard Press', 'Odor Sleuth', 'Burn Up', 'Covet', 'Magnitude', 'Sucker Punch', 'Superpower', 'Thrash', 'Yawn', 'Block', 'Iron Tail', 'Snore', 'Work Up', 'Toxic', 'Hidden Power', 'Frustration', 'Return', 'Double Team', 'Attract', 'Round', 'Echoed Voice', 'Swagger', 'Confide', 'Incinerate', 'Power-Up Punch', 'Rock Smash', 'Secret Power', 'Strength']"
#0501,Oshawott,['water'],"['Torrent', 'Shell Armor']",55,55,45,63,45,45,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",308,51,"['Tackle', 'Tail Whip', 'Water Gun', 'Soak', 'Focus Energy', 'Razor Shell', 'Fury Cutter', 'Water Pulse', 'Aerial Ace', 'Aqua Jet', 'Encore', 'Aqua Tail', 'Retaliate', 'Swords Dance', 'Hydro Pump', 'Air Slash', 'Aqua Cutter', 'Copycat', 'Detect', 'Knock Off', 'Night Slash', 'Sacred Sword', 'Screech', 'Take Down', 'Protect', 'Thief', 'Chilling Water', 'Facade', 'Swift', 'Icy Wind', 'Fling', 'Avalanche', 'Endure', 'Rain Dance', 'Snowscape', 'Dig', 'False Swipe', 'Sleep Talk', 'Waterfall', 'Grass Knot', 'Rest', 'Taunt', 'Substitute', 'X-Scissor', 'Liquidation', 'Surf', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Tera Blast', 'Slash', 'Iron Tail', 'Rock Smash']"
#0502,Dewott,['water'],"['Torrent', 'Shell Armor']",75,75,60,83,60,60,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",413,68,"['Soak', 'Tackle', 'Tail Whip', 'Water Gun', 'Focus Energy', 'Razor Shell', 'Fury Cutter', 'Water Pulse', 'Aerial Ace', 'Aqua Jet', 'Encore', 'Aqua Tail', 'Retaliate', 'Swords Dance', 'Hydro Pump', 'Air Slash', 'Aqua Cutter', 'Copycat', 'Detect', 'Knock Off', 'Night Slash', 'Sacred Sword', 'Screech', 'Take Down', 'Protect', 'Thief', 'Chilling Water', 'Facade', 'Swift', 'Icy Wind', 'Fling', 'Avalanche', 'Endure', 'Rain Dance', 'Snowscape', 'Dig', 'False Swipe', 'Brick Break', 'Sleep Talk', 'Waterfall', 'Grass Knot', 'Rest', 'Taunt', 'Substitute', 'X-Scissor', 'Liquidation', 'Surf', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Tera Blast', 'Slash', 'Iron Tail', 'Rock Smash']"
#0503,Samurott,['water'],"['Torrent', 'Shell Armor']",95,100,85,108,70,70,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",528,88,"['Megahorn', 'Soak', 'Tackle', 'Tail Whip', 'Water Gun', 'Focus Energy', 'Razor Shell', 'Fury Cutter', 'Water Pulse', 'Aerial Ace', 'Aqua Jet', 'Encore', 'Aqua Tail', 'Retaliate', 'Swords Dance', 'Hydro Pump', 'Slash', 'Sucker Punch', 'Ceaseless Edge', 'Air Slash', 'Aqua Cutter', 'Copycat', 'Detect', 'Knock Off', 'Night Slash', 'Sacred Sword', 'Screech', 'Take Down', 'Scary Face', 'Protect', 'Thief', 'Chilling Water', 'Facade', 'Bulldoze', 'Swift', 'Icy Wind', 'Fling', 'Avalanche', 'Endure', 'Rain Dance', 'Snowscape', 'Smart Strike', 'Dig', 'False Swipe', 'Brick Break', 'Body Slam', 'Sleep Talk', 'Waterfall', 'Grass Knot', 'Rest', 'Taunt', 'Substitute', 'X-Scissor', 'Drill Run', 'Liquidation', 'Surf', 'Helping Hand', 'Ice Beam', 'Blizzard', 'Water Pledge', 'Giga Impact', 'Hydro Cannon', 'Hyper Beam', 'Tera Blast', 'Vacuum Wave', 'Flip Turn', 'Whirlpool', 'Upper Hand', 'Snarl', 'Dark Pulse', 'Lash Out', 'Throat Chop', 'Iron Tail', 'Poison Jab', 'Psycho Cut', 'Rock Smash']"
